pathway	individual label	individual uri	inferred_type
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1,CCNB2:p-T161-CDK1	<http://model.geneontology.org/-1845675833>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNA:p-T14-CDK1	<http://model.geneontology.org/286551158>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNA2:p-T161-CDK1	<http://model.geneontology.org/207773605>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1,CCNB2:p-T161-CDK1	<http://model.geneontology.org/-129730256>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CDC25	<http://model.geneontology.org/-2057829381>	<http://purl.obolibrary.org/obo/GO_1903293>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNA:p-T14,Y15,T161-CDK1	<http://model.geneontology.org/481024608>	<http://purl.obolibrary.org/obo/GO_1903293>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/1670268432>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/2065090635>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNA:p-T14,T161-CDK1	<http://model.geneontology.org/670079393>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1,CCNB2:p-T161-CDK1	<http://model.geneontology.org/128435182>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNA:CDK1	<http://model.geneontology.org/1599526561>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	Dephosphorylation of nuclear Cyclin B1:phospho-Cdc2 (Thr 14, Tyr15) complexes by Cdc25 phosphatases	<http://model.geneontology.org/-982996252>	<http://purl.obolibrary.org/obo/GO_0098772>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-807334091>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-1270646645>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CAK	<http://model.geneontology.org/1982797934>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-106269513>	<http://purl.obolibrary.org/obo/GO_0000307>
Formation_of_the_Early_Elongation_Complex	DSIF:NELF:early elongation complex	<http://model.geneontology.org/979765698>	<http://purl.obolibrary.org/obo/GO_0061695>
Formation_of_the_Early_Elongation_Complex	P-TEFb complex	<http://model.geneontology.org/-161947910>	<http://purl.obolibrary.org/obo/GO_0061695>
Formation_of_RNA_Pol_II_elongation_complex	P-TEFb complex	<http://model.geneontology.org/-161947910>	<http://purl.obolibrary.org/obo/GO_0061695>
Translesion_synthesis_by_POLI	Translesion synthesis by POLI	<http://model.geneontology.org/2140016767>	<http://purl.obolibrary.org/obo/GO_0009200>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(EtAD:T)-DNA Template,(Gamma-HOPdG:C)-DNA Template	<http://model.geneontology.org/711891664>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(EtAD:T)-DNA Template,(Gamma-HOPdG:C)-DNA Template	<http://model.geneontology.org/711891664>	<http://purl.obolibrary.org/obo/GO_1990391>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(EtAD:T)-DNA Template,(Gamma-HOPdG:C)-DNA Template	<http://model.geneontology.org/811209814>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(EtAD:T)-DNA Template,(Gamma-HOPdG:C)-DNA Template	<http://model.geneontology.org/811209814>	<http://purl.obolibrary.org/obo/GO_1990391>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:EtAD-DNA Template,Gamma-HOPdG-DNA Template	<http://model.geneontology.org/-2130417546>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:EtAD-DNA Template,Gamma-HOPdG-DNA Template	<http://model.geneontology.org/-2130417546>	<http://purl.obolibrary.org/obo/GO_1990391>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:EtAD-DNA Template,Gamma-HOPdG-DNA Template	<http://model.geneontology.org/929575600>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLI	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:EtAD-DNA Template,Gamma-HOPdG-DNA Template	<http://model.geneontology.org/929575600>	<http://purl.obolibrary.org/obo/GO_1990391>
Ubiquinol_biosynthesis	COQ9 dimer:COQ7:Fe2+	<http://model.geneontology.org/-1697270723>	<http://purl.obolibrary.org/obo/GO_1902494>
Ubiquinol_biosynthesis	PDSS1/2 tetramer	<http://model.geneontology.org/41892804>	<http://purl.obolibrary.org/obo/GO_1990234>
Ubiquinol_biosynthesis	Ubiquinol biosynthesis	<http://model.geneontology.org/1915830834>	<http://purl.obolibrary.org/obo/GO_0006739>
Ubiquinol_biosynthesis	Ubiquinol biosynthesis	<http://model.geneontology.org/1915830834>	<http://purl.obolibrary.org/obo/GO_0072592>
Ubiquinol_biosynthesis	Ubiquinol biosynthesis	<http://model.geneontology.org/1915830834>	<http://purl.obolibrary.org/obo/GO_0046500>
Ubiquinol_biosynthesis	Ubiquinol biosynthesis	<http://model.geneontology.org/1915830834>	<http://purl.obolibrary.org/obo/GO_0046498>
Ubiquinol_biosynthesis	Ubiquinol biosynthesis	<http://model.geneontology.org/1915830834>	<http://purl.obolibrary.org/obo/GO_0046490>
Translesion_synthesis_by_POLK	Translesion synthesis by POLK	<http://model.geneontology.org/2140016766>	<http://purl.obolibrary.org/obo/GO_0009200>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(Tg:A)-DNA Template,(OGUA:A)-DNA Template,(BPDE-G:C)-DNA Template	<http://model.geneontology.org/-1668376116>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(Tg:A)-DNA Template,(OGUA:A)-DNA Template,(BPDE-G:C)-DNA Template	<http://model.geneontology.org/-1668376116>	<http://purl.obolibrary.org/obo/GO_1990391>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:Tg-DNA Template,OGUA-DNA Template,BPDE-G-DNA Template	<http://model.geneontology.org/-1489475846>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:Tg-DNA Template,OGUA-DNA Template,BPDE-G-DNA Template	<http://model.geneontology.org/-1489475846>	<http://purl.obolibrary.org/obo/GO_1990391>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:Tg-DNA Template,OGUA-DNA Template,BPDE-G-DNA Template	<http://model.geneontology.org/-1450692180>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:Tg-DNA Template,OGUA-DNA Template,BPDE-G-DNA Template	<http://model.geneontology.org/-1450692180>	<http://purl.obolibrary.org/obo/GO_1990391>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(Tg:A)-DNA Template,(OGUA:A)-DNA Template,(BPDE-G:C)-DNA Template	<http://model.geneontology.org/1452151514>	<http://purl.obolibrary.org/obo/GO_0042575>
Translesion_synthesis_by_POLK	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(Tg:A)-DNA Template,(OGUA:A)-DNA Template,(BPDE-G:C)-DNA Template	<http://model.geneontology.org/1452151514>	<http://purl.obolibrary.org/obo/GO_1990391>
Regulation_of_gene_expression_in_early_pancreatic_precursor_cells	HNF1B-dependent synthesis of HNF6 protein	<http://model.geneontology.org/662119894>	<http://purl.obolibrary.org/obo/GO_0098772>
Regulation_of_gene_expression_in_early_pancreatic_precursor_cells	HNF6- and FGF10-dependent synthesis of PDX1 protein	<http://model.geneontology.org/662119897>	<http://purl.obolibrary.org/obo/GO_0098772>
Insulin_receptor_recycling	V-ATPase:ATP6AP1	<http://model.geneontology.org/-1176400723>	<http://purl.obolibrary.org/obo/GO_1902495>
CYP2E1_reactions		<http://model.geneontology.org/1901125444>	<http://purl.obolibrary.org/obo/GO_0006739>
CYP2E1_reactions		<http://model.geneontology.org/1901125444>	<http://purl.obolibrary.org/obo/GO_0072592>
CYP2E1_reactions	MGST trimers	<http://model.geneontology.org/453127885>	<http://purl.obolibrary.org/obo/GO_1990234>
CYP2E1_reactions	Cytochrome P450 (CYP2E1 based)	<http://model.geneontology.org/2021813504>	<http://purl.obolibrary.org/obo/GO_1902494>
CYP2E1_reactions	Cytochrome P450 (CYP2E1 based)	<http://model.geneontology.org/-476202433>	<http://purl.obolibrary.org/obo/GO_1902494>
CYP2E1_reactions	Cytochrome P450 (CYP2E1 based)	<http://model.geneontology.org/-1572089214>	<http://purl.obolibrary.org/obo/GO_1902494>
CYP2E1_reactions		<http://model.geneontology.org/-1173777150>	<http://purl.obolibrary.org/obo/GO_0072390>
CYP2E1_reactions		<http://model.geneontology.org/-1173777150>	<http://purl.obolibrary.org/obo/GO_0006739>
CYP2E1_reactions		<http://model.geneontology.org/-1173777150>	<http://purl.obolibrary.org/obo/GO_0072592>
CYP2E1_reactions	Cytochrome P450 (CYP2E1 based)	<http://model.geneontology.org/1844653848>	<http://purl.obolibrary.org/obo/GO_1902494>
CYP2E1_reactions	Cytochrome P450 (CYP2E1 based)	<http://model.geneontology.org/224862145>	<http://purl.obolibrary.org/obo/GO_1902494>
CYP2E1_reactions		<http://model.geneontology.org/-1037935365>	<http://purl.obolibrary.org/obo/GO_1902421>
CYP2E1_reactions		<http://model.geneontology.org/-1037935365>	<http://purl.obolibrary.org/obo/GO_0006739>
CYP2E1_reactions		<http://model.geneontology.org/-1037935365>	<http://purl.obolibrary.org/obo/GO_0072592>
CYP2E1_reactions		<http://model.geneontology.org/-1037935365>	<http://purl.obolibrary.org/obo/GO_0043603>
CYP2E1_reactions		<http://model.geneontology.org/-1037935365>	<http://purl.obolibrary.org/obo/GO_0006805>
CYP2E1_reactions		<http://model.geneontology.org/-1037935365>	<http://purl.obolibrary.org/obo/GO_0018958>
CYP2E1_reactions	Cytochrome P450 (CYP2E1 based)	<http://model.geneontology.org/47702489>	<http://purl.obolibrary.org/obo/GO_1902494>
Spry_regulation_of_FGF_signaling	PPA2A (A:C):S112/S115 p-SPRY2	<http://model.geneontology.org/-667206664>	<http://purl.obolibrary.org/obo/GO_0008287>
Spry_regulation_of_FGF_signaling	PP2A(A:C):SPRY2	<http://model.geneontology.org/-1642180406>	<http://purl.obolibrary.org/obo/GO_1902554>
Spry_regulation_of_FGF_signaling	PP2A(A:C):SPRY2	<http://model.geneontology.org/-1785326161>	<http://purl.obolibrary.org/obo/GO_1902911>
Spry_regulation_of_FGF_signaling	SPRY2 is phosphorylated by phosphorylated MNK1	<http://model.geneontology.org/-983077126>	<http://purl.obolibrary.org/obo/GO_0004860>
Spry_regulation_of_FGF_signaling	PPA2A (A:C):Y55/Y227 p-SPRY2:GRB2	<http://model.geneontology.org/1723339722>	<http://purl.obolibrary.org/obo/GO_1904096>
Spry_regulation_of_FGF_signaling	Y55/Y227-pSPRY2:CBL	<http://model.geneontology.org/-1525810911>	<http://purl.obolibrary.org/obo/GO_0000151>
Spry_regulation_of_FGF_signaling	Y55/Y227-pSPRY2:CBL	<http://model.geneontology.org/732668709>	<http://purl.obolibrary.org/obo/GO_0000151>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	A tetrasaccharide linker sequence is required for GAG synthesis	<http://model.geneontology.org/1915828914>	<http://purl.obolibrary.org/obo/GO_0052573>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	A tetrasaccharide linker sequence is required for GAG synthesis	<http://model.geneontology.org/1915828914>	<http://purl.obolibrary.org/obo/GO_0046398>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	A tetrasaccharide linker sequence is required for GAG synthesis	<http://model.geneontology.org/1915828914>	<http://purl.obolibrary.org/obo/GO_0046048>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	A tetrasaccharide linker sequence is required for GAG synthesis	<http://model.geneontology.org/1915828914>	<http://purl.obolibrary.org/obo/GO_0033319>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	EXT1:EXT2	<http://model.geneontology.org/529379996>	<http://purl.obolibrary.org/obo/GO_1990234>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	(Xyl)1 (Ser)1	<http://model.geneontology.org/1175529510>	<http://purl.obolibrary.org/obo/GO_1990234>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	Gal-Xyl-proteins	<http://model.geneontology.org/1777674615>	<http://purl.obolibrary.org/obo/GO_1990234>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	B3GAT dimers	<http://model.geneontology.org/551885663>	<http://purl.obolibrary.org/obo/GO_1990234>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	Gal-Gal-Xyl-proteins	<http://model.geneontology.org/-552509523>	<http://purl.obolibrary.org/obo/GO_1990234>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	XYLT1, XYLT2	<http://model.geneontology.org/-124289877>	<http://purl.obolibrary.org/obo/GO_1990234>
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	CSGALNACT	<http://model.geneontology.org/611871806>	<http://purl.obolibrary.org/obo/GO_1990234>
IPs_transport_between_ER_lumen_and_nucleus	IP6K1/2	<http://model.geneontology.org/-1355470000>	<http://purl.obolibrary.org/obo/GO_0061695>
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	CYP(5)	<http://model.geneontology.org/907848106>	<http://purl.obolibrary.org/obo/GO_1902494>
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	CYP(4)	<http://model.geneontology.org/1817576619>	<http://purl.obolibrary.org/obo/GO_1902494>
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	<http://model.geneontology.org/1915829686>	<http://purl.obolibrary.org/obo/GO_0006739>
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	<http://model.geneontology.org/1915829686>	<http://purl.obolibrary.org/obo/GO_0072592>
IPs_transport_between_nucleus_and_cytosol	IP6K1/3	<http://model.geneontology.org/805511566>	<http://purl.obolibrary.org/obo/GO_0061695>
IPs_transport_between_nucleus_and_cytosol	PPIP5K1/2	<http://model.geneontology.org/-230252337>	<http://purl.obolibrary.org/obo/GO_0061695>
IPs_transport_between_nucleus_and_cytosol	DIPP	<http://model.geneontology.org/-1198045431>	<http://purl.obolibrary.org/obo/GO_1902494>
IPs_transport_between_nucleus_and_cytosol	IP6K1/3	<http://model.geneontology.org/1506576144>	<http://purl.obolibrary.org/obo/GO_0061695>
IPs_transport_between_nucleus_and_cytosol	DIPP	<http://model.geneontology.org/1871952365>	<http://purl.obolibrary.org/obo/GO_1902494>
IPs_transport_between_nucleus_and_cytosol	DIPP	<http://model.geneontology.org/-1899110009>	<http://purl.obolibrary.org/obo/GO_1902494>
IPs_transport_between_nucleus_and_cytosol	IP6K1/3	<http://model.geneontology.org/1111753941>	<http://purl.obolibrary.org/obo/GO_0061695>
Degradation_of_beta-catenin_by_the_destruction_complex	CTNNB1:destruction complex	<http://model.geneontology.org/1086049737>	<http://purl.obolibrary.org/obo/GO_0061695>
Degradation_of_beta-catenin_by_the_destruction_complex	p-S33,S37,T41,S45-beta-catenin:p-AXIN:GSK3:CK1alpha:ub-APC:PP2A:AMER1 complex	<http://model.geneontology.org/2055901128>	<http://purl.obolibrary.org/obo/GO_0061695>
Degradation_of_beta-catenin_by_the_destruction_complex	ubiquitinated phospho-beta-catenin:RBX1:SCF(beta-TrCP1) complex	<http://model.geneontology.org/660762655>	<http://purl.obolibrary.org/obo/GO_1905369>
Degradation_of_beta-catenin_by_the_destruction_complex	destruction complex	<http://model.geneontology.org/-502237687>	<http://purl.obolibrary.org/obo/GO_1902554>
Degradation_of_beta-catenin_by_the_destruction_complex	destruction complex	<http://model.geneontology.org/-688343747>	<http://purl.obolibrary.org/obo/GO_1902554>
Degradation_of_beta-catenin_by_the_destruction_complex	CTNNB1:destruction complex	<http://model.geneontology.org/-1123711619>	<http://purl.obolibrary.org/obo/GO_0061695>
Degradation_of_beta-catenin_by_the_destruction_complex	26S proteasome	<http://model.geneontology.org/-430569882>	<http://purl.obolibrary.org/obo/GO_1905369>
Condensation_of_Prophase_Chromosomes	RB1 binds condensin II	<http://model.geneontology.org/-982995411>	<http://purl.obolibrary.org/obo/GO_0098772>
Condensation_of_Prophase_Chromosomes	Condensin II:Nucleosome with H4K20me1	<http://model.geneontology.org/1555464197>	<http://purl.obolibrary.org/obo/GO_0000307>
Condensation_of_Prophase_Chromosomes	PHF8:Nucleosome with H3K4me2/3:H4K20me1	<http://model.geneontology.org/2099930008>	<http://purl.obolibrary.org/obo/GO_0000307>
Condensation_of_Prophase_Chromosomes	p-T210-PLK1:Phosphorylated Condensin II:Nucleosome	<http://model.geneontology.org/873783238>	<http://purl.obolibrary.org/obo/GO_0061695>
Condensation_of_Prophase_Chromosomes	p-T210-PLK1:Phosphorylated Condensin II:Nucleosome	<http://model.geneontology.org/-339314400>	<http://purl.obolibrary.org/obo/GO_0061695>
Condensation_of_Prophase_Chromosomes	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-2052717005>	<http://purl.obolibrary.org/obo/GO_0000307>
Condensation_of_Prophase_Chromosomes	PHF8:Nucleosome with H3K4me2/3:H4K20me1	<http://model.geneontology.org/2071300857>	<http://purl.obolibrary.org/obo/GO_1902494>
Condensation_of_Prophase_Chromosomes	PLK1 hyperphosphorylates Condensin II complex	<http://model.geneontology.org/-982995386>	<http://purl.obolibrary.org/obo/GO_0098772>
Condensation_of_Prophase_Chromosomes	PHF8:Nucleosome with H3K4me2/3:H4K20me1	<http://model.geneontology.org/1679807949>	<http://purl.obolibrary.org/obo/GO_1902494>
Condensation_of_Prophase_Chromosomes	CCNB1:p-T161-CDK1	<http://model.geneontology.org/2065090635>	<http://purl.obolibrary.org/obo/GO_0000307>
NOD1-2_Signaling_Pathway	TRAF6 E3/E2 ubiquitin ligase complex	<http://model.geneontology.org/980721205>	<http://purl.obolibrary.org/obo/GO_1990234>
NOD1-2_Signaling_Pathway	Activated IKK Complex	<http://model.geneontology.org/-1848117566>	<http://purl.obolibrary.org/obo/GO_0008385>
NOD1-2_Signaling_Pathway	TAK1 complex	<http://model.geneontology.org/-1943412152>	<http://purl.obolibrary.org/obo/GO_1902554>
NOD1-2_Signaling_Pathway	PAMP:NOD oligomer:RIP2:K63-pUb-K285-NEMO	<http://model.geneontology.org/1507450715>	<http://purl.obolibrary.org/obo/GO_1902494>
NOD1-2_Signaling_Pathway	Activated IKK Complex	<http://model.geneontology.org/1745785152>	<http://purl.obolibrary.org/obo/GO_0008385>
NOD1-2_Signaling_Pathway	Activated TAK complexes	<http://model.geneontology.org/-782289233>	<http://purl.obolibrary.org/obo/GO_1902554>
NOD1-2_Signaling_Pathway	NOD1 induced apoptosis is mediated by RIP2 and CARD8	<http://model.geneontology.org/-982963579>	<http://purl.obolibrary.org/obo/GO_0098772>
NOD1-2_Signaling_Pathway	Activated IKK Complex	<http://model.geneontology.org/-1276135707>	<http://purl.obolibrary.org/obo/GO_1902554>
NOD1-2_Signaling_Pathway	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	<http://model.geneontology.org/-624858940>	<http://purl.obolibrary.org/obo/GO_1902494>
NOD1-2_Signaling_Pathway	PAMP:NOD oligomer:RIP2:NEMO	<http://model.geneontology.org/-820096103>	<http://purl.obolibrary.org/obo/GO_1990234>
Synthesis_of_PE	LPIN	<http://model.geneontology.org/-723953712>	<http://purl.obolibrary.org/obo/GO_1903293>
Synthesis_of_PE	CEPT1/EPT1	<http://model.geneontology.org/1007673453>	<http://purl.obolibrary.org/obo/GO_0061695>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0006117>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0006658>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0046031>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0046035>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0046034>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0043436>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0006580>
Synthesis_of_PE	Synthesis of PE	<http://model.geneontology.org/1915829818>	<http://purl.obolibrary.org/obo/GO_0046036>
Synthesis_of_PE	HRASLS	<http://model.geneontology.org/-1882054056>	<http://purl.obolibrary.org/obo/GO_1990234>
AURKA_Activation_by_TPX2	Centrosome:AURKA:TPX2:HMMR	<http://model.geneontology.org/1663514783>	<http://purl.obolibrary.org/obo/GO_1902554>
AURKA_Activation_by_TPX2	Centrosome:AURKA:TPX2:HMMR	<http://model.geneontology.org/-189349913>	<http://purl.obolibrary.org/obo/GO_1902554>
Synthesis_of_PC	LPIN	<http://model.geneontology.org/-723953712>	<http://purl.obolibrary.org/obo/GO_1903293>
Synthesis_of_PC	PLD1/2	<http://model.geneontology.org/737483484>	<http://purl.obolibrary.org/obo/GO_1902494>
Synthesis_of_PC	HRASLS	<http://model.geneontology.org/-1882054056>	<http://purl.obolibrary.org/obo/GO_1990234>
Synthesis_of_PC	PCYT1 dimer	<http://model.geneontology.org/-750948412>	<http://purl.obolibrary.org/obo/GO_0061695>
Synthesis_of_PC	CK2	<http://model.geneontology.org/799021122>	<http://purl.obolibrary.org/obo/GO_1902554>
Synthesis_of_PC	PLD1-4/6	<http://model.geneontology.org/985084896>	<http://purl.obolibrary.org/obo/GO_1902494>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046031>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046498>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046337>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0019695>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0006084>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0008291>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046500>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046035>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046034>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0006066>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0015936>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0006083>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0006653>
Synthesis_of_PC	Synthesis of PC	<http://model.geneontology.org/1915829842>	<http://purl.obolibrary.org/obo/GO_0046036>
Synthesis_of_PC	CEPT1/EPT1	<http://model.geneontology.org/1007673453>	<http://purl.obolibrary.org/obo/GO_0061695>
