pathway	new_bp	new_mf	new_cc	new_complex	new_total
Base-Excision_Repair,_AP_Site_Formation	0	0	0	0	0
Synthesis_of_PIPs_at_the_early_endosome_membrane	0	0	0	8	8
Aryl_hydrocarbon_receptor_signalling	0	0	0	6	6
RNA_Polymerase_II_Transcription_Initiation	0	0	0	7	7
Platelet_Adhesion_to_exposed_collagen	0	0	0	10	10
APC-Cdc20_mediated_degradation_of_Nek2A	0	0	0	4	4
Defective_SLC2A1_causes_GLUT1_deficiency_syndrome_1_(GLUT1DS1)	0	0	0	0	0
ISG15_antiviral_mechanism	0	0	0	22	22
p75NTR_signals_via_NF-kB	0	0	0	0	0
Rab_regulation_of_trafficking	0	0	0	0	0
Signaling_by_Retinoic_Acid	0	1	0	11	12
RNA_Polymerase_I_Promoter_Opening	0	0	0	5	5
G_alpha_(s)_signalling_events	0	1	0	19	20
Inactivation_of_APC-C_via_direct_inhibition_of_the_APC-C_complex	0	0	0	8	8
DSCAM_interactions	0	0	0	8	8
Interleukin-18_signaling	0	1	0	6	7
Eicosanoid_ligand-binding_receptors	0	0	0	0	0
Type_I_hemidesmosome_assembly	0	0	0	9	9
Ketone_body_metabolism	0	0	0	0	0
RUNX3_Regulates_Immune_Response_and_Cell_Migration	0	2	0	4	6
TLR3-mediated_TICAM1-dependent_programmed_cell_death	0	0	0	5	5
Recognition_and_association_of_DNA_glycosylase_with_site_containing_an_affected_pyrimidine	0	0	0	0	0
Defective_SLC34A3_causes_Hereditary_hypophosphatemic_rickets_with_hypercalciuria_(HHRH)	0	0	0	0	0
Signaling_by_EGFR	0	0	0	16	16
Ovarian_tumor_domain_proteases	0	1	0	21	22
Defective_SLC35A2_causes_congenital_disorder_of_glycosylation_2M_(CDG2M)	0	0	0	0	0
Recognition_of_DNA_damage_by_PCNA-containing_replication_complex	0	0	0	19	19
Regulation_of_thyroid_hormone_activity	0	0	0	1	1
Nitric_oxide_stimulates_guanylate_cyclase	0	0	0	5	5
Hh_mutants_that_don't_undergo_autocatalytic_processing_are_degraded_by_ERAD	0	0	0	7	7
Fertilization	0	0	0	0	0
Chemokine_receptors_bind_chemokines	0	0	0	34	34
Diseases_associated_with_the_TLR_signaling_cascade	0	0	0	0	0
Inwardly_rectifying_K+_channels	0	0	0	0	0
MET_promotes_cell_motility	0	0	0	0	0
Transcriptional_activation_of_cell_cycle_inhibitor_p21	0	3	0	9	12
Signaling_by_Leptin	0	1	0	20	21
Common_Pathway_of_Fibrin_Clot_Formation	0	6	0	25	31
Synthesis_of_GDP-mannose	0	0	0	2	2
Formation_of_apoptosome	0	0	0	3	3
phosphorylation_site_mutants_of_CTNNB1_are_not_targeted_to_the_proteasome_by_the_destruction_complex	0	0	0	0	0
Elastic_fibre_formation	0	0	0	10	10
TRAF6_mediated_IRF7_activation_in_TLR7-8_or_9_signaling	0	0	0	7	7
Abacavir_transport_and_metabolism	0	0	0	0	0
mTOR_signalling	0	2	0	20	22
Urea_cycle	0	0	0	2	2
Defective_CYP26C1_causes_Focal_facial_dermal_dysplasia_4_(FFDD4)	0	0	0	0	0
RNA_polymerase_II_transcribes_snRNA_genes	0	0	0	24	24
Gamma_carboxylation,_hypusine_formation_and_arylsulfatase_activation	0	0	0	0	0
DNA_strand_elongation	0	0	0	0	0
Non-integrin_membrane-ECM_interactions	0	0	0	8	8
Hedgehog_ligand_biogenesis	0	0	0	17	17
Signaling_by_NOTCH	0	0	0	0	0
Oxygen-dependent_proline_hydroxylation_of_Hypoxia-inducible_Factor_Alpha	0	0	0	15	15
Presynaptic_nicotinic_acetylcholine_receptors	0	0	0	0	0
Regulated_proteolysis_of_p75NTR	0	0	0	3	3
Proton-coupled_neutral_amino_acid_transporters	0	0	0	0	0
ALKBH3_mediated_reversal_of_alkylation_damage	0	0	0	4	4
NEP-NS2_Interacts_with_the_Cellular_Export_Machinery	0	0	0	5	5
Androgen_biosynthesis	0	0	0	4	4
WNT_mediated_activation_of_DVL	0	0	0	5	5
Activation_of_PKB	0	0	0	9	9
M_Phase	0	0	0	0	0
Dual_Incision_in_GG-NER	0	0	0	11	11
Meiotic_recombination	0	0	0	14	14
Transcription_of_E2F_targets_under_negative_control_by_p107_(RBL1)_and_p130_(RBL2)_in_complex_with_HDAC1	0	4	0	7	11
Defective_ABCC6_causes_pseudoxanthoma_elasticum_(PXE)	0	0	0	0	0
Signal_attenuation	0	0	0	10	10
Vpr-mediated_nuclear_import_of_PICs	0	1	0	4	5
Tie2_Signaling	0	0	0	17	17
Recruitment_of_NuMA_to_mitotic_centrosomes	0	0	0	4	4
Synthesis_of_5-eicosatetraenoic_acids	0	0	0	2	2
APC-C:Cdc20_mediated_degradation_of_mitotic_proteins	0	0	0	6	6
Estrogen-dependent_gene_expression	0	20	0	63	83
MET_activates_PTK2_signaling	0	0	0	7	7
Protein_repair	0	0	0	1	1
Creation_of_C4_and_C2_activators	0	0	0	0	0
EPH-ephrin_mediated_repulsion_of_cells	0	0	0	21	21
COPI-independent_Golgi-to-ER_retrograde_traffic	0	0	0	11	11
Biosynthesis_of_D-series_resolvins	0	0	0	0	0
RHO_GTPases_activate_PKNs	0	1	0	13	14
Cilium_Assembly	0	0	0	2	2
Toll_Like_Receptor_2_(TLR2)_Cascade	0	0	0	0	0
Depolymerisation_of_the_Nuclear_Lamina	0	0	0	10	10
Glyoxylate_metabolism_and_glycine_degradation	0	0	0	0	0
Cell_redox_homeostasis	0	0	0	2	2
Beta_oxidation_of_octanoyl-CoA_to_hexanoyl-CoA	0	0	0	5	5
Adherens_junctions_interactions	0	0	0	9	9
Degradation_of_GABA	0	0	0	0	0
Defective_Mismatch_Repair_Associated_With_MSH6	0	0	0	0	0
TGFBR1_LBD_Mutants_in_Cancer	0	0	0	2	2
Defective_Mismatch_Repair_Associated_With_MSH3	0	0	0	0	0
MAP2K_and_MAPK_activation	0	0	0	17	17
Developmental_Biology	0	0	0	0	0
Defective_Mismatch_Repair_Associated_With_MSH2	0	0	0	1	1
Amine_ligand-binding_receptors	0	0	0	4	4
Defects_in_cobalamin_(B12)_metabolism	0	0	0	0	0
SMAC-mediated_apoptotic_response	0	0	0	0	0
Repression_of_WNT_target_genes	0	2	0	10	12
Activation_of_AMPA_receptors	0	0	0	4	4
Signaling_by_moderate_kinase_activity_BRAF_mutants	0	0	0	17	17
Defective_SLC7A9_causes_cystinuria_(CSNU)	0	0	0	0	0
Nef_and_signal_transduction	0	0	0	5	5
Diseases_of_glycosylation	0	0	0	0	0
SOS-mediated_signalling	0	0	0	7	7
Visual_phototransduction	0	0	0	0	0
p75NTR_recruits_signalling_complexes	0	1	0	13	14
Synthesis_of_UDP-N-acetyl-glucosamine	0	0	0	1	1
DNA_methylation	0	0	0	11	11
Autodegradation_of_the_E3_ubiquitin_ligase_COP1	0	0	0	4	4
Protein_methylation	0	0	0	0	0
Downregulation_of_ERBB4_signaling	0	0	0	6	6
Agmatine_biosynthesis	0	0	0	0	0
Signaling_by_FGFR3_in_disease	0	0	0	0	0
Microtubule-dependent_trafficking_of_connexons_from_Golgi_to_the_plasma_membrane	0	0	0	1	1
Nonsense_Mediated_Decay_(NMD)_independent_of_the_Exon_Junction_Complex_(EJC)	0	0	0	2	2
IKK_complex_recruitment_mediated_by_RIP1	0	0	0	12	12
Respiratory_electron_transport	0	0	0	13	13
eNOS_activation_and_regulation	0	0	0	0	0
DAG_and_IP3_signaling	0	0	0	18	18
Defective_CYP26B1_causes_Radiohumeral_fusions_with_other_skeletal_and_craniofacial_anomalies_(RHFCA)	0	0	0	0	0
Formation_of_tubulin_folding_intermediates_by_CCT-TriC	0	0	0	10	10
Zinc_efflux_and_compartmentalization_by_the_SLC30_family	0	0	0	2	2
Defects_in_vitamin_and_cofactor_metabolism	0	0	0	0	0
Signaling_by_NTRK1_(TRKA)	0	0	0	0	0
Defective_CYP27A1_causes_Cerebrotendinous_xanthomatosis_(CTX)	0	0	0	0	0
Collagen_biosynthesis_and_modifying_enzymes	0	0	0	79	79
TNFR1-induced_NFkappaB_signaling_pathway	0	0	0	13	13
Defective_SLC29A3_causes_histiocytosis-lymphadenopathy_plus_syndrome_(HLAS)	0	0	0	0	0
PI5P_Regulates_TP53_Acetylation	0	0	0	6	6
Collagen_formation	0	0	0	0	0
Muscle_contraction	0	0	0	0	0
Fusion_of_the_Influenza_Virion_to_the_Host_Cell_Endosome	0	0	0	5	5
Signal_transduction_by_L1	0	0	0	14	14
Regulation_of_RUNX3_expression_and_activity	0	1	0	20	21
PI_Metabolism	0	0	0	1	1
Defective_POMT2_causes_MDDGA2,_MDDGB2_and_MDDGC2	0	0	0	0	0
p75NTR_regulates_axonogenesis	0	0	0	0	0
Amine-derived_hormones	0	0	0	0	0
Signaling_by_NTRKs	0	0	0	0	0
Generation_of_second_messenger_molecules	0	0	0	25	25
Elevation_of_cytosolic_Ca2+_levels	0	0	0	12	12
p75NTR_negatively_regulates_cell_cycle_via_SC1	0	0	0	4	4
Autodegradation_of_Cdh1_by_Cdh1:APC-C	0	0	0	5	5
Defective_CHST3_causes_SEDCJD	0	0	0	1	1
Catecholamine_biosynthesis	0	0	0	0	0
Formation_of_annular_gap_junctions	0	0	0	5	5
Ligand-independent_caspase_activation_via_DCC	0	0	0	7	7
MET_Receptor_Activation	0	2	0	23	25
Formation_of_Senescence-Associated_Heterochromatin_Foci_(SAHF)	0	0	0	5	5
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	0	0	0	5	5
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	0	0	0	10	10
Viral_RNP_Complexes_in_the_Host_Cell_Nucleus	0	0	0	3	3
M-G1_Transition	0	0	0	0	0
Defective_ABCB11_causes_progressive_familial_intrahepatic_cholestasis_2_and_benign_recurrent_intrahepatic_cholestasis_2	0	0	0	0	0
Hereditary_fructose_intolerance	0	0	0	0	0
RHO_GTPases_activate_CIT	0	1	0	9	10
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	0	0	0	11	11
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	0	0	0	18	18
Non-coding_RNA_Metabolism	0	0	0	0	0
Porphyrin_metabolism	0	0	0	0	0
p53-Independent_G1-S_DNA_damage_checkpoint	0	0	0	0	0
CREB_phosphorylation_through_the_activation_of_CaMKK	0	0	0	1	1
HuR_(ELAVL1)_binds_and_stabilizes_mRNA	0	0	0	1	1
Defective_SLC5A2_causes_renal_glucosuria_(GLYS1)	0	0	0	0	0
FMO_oxidises_nucleophiles	0	0	0	0	0
Defective_ALG11_causes_ALG11-CDG_(CDG-1p)	0	0	0	0	0
Glycosphingolipid_metabolism	0	0	0	7	7
Death_Receptor_Signalling	0	0	0	0	0
Signaling_by_SCF-KIT	0	0	0	35	35
VLDL_clearance	0	0	0	4	4
Eukaryotic_Translation_Initiation	0	0	0	0	0
Diseases_associated_with_surfactant_metabolism	0	0	0	0	0
Biosynthesis_of_DPAn-3-derived_13-series_resolvins	0	0	0	0	0
Initiation_of_Nuclear_Envelope_Reformation	0	0	0	6	6
Transcriptional_regulation_by_RUNX3	0	0	0	0	0
Transcriptional_regulation_by_RUNX2	0	2	0	28	30
Amyloid_fiber_formation	0	0	0	18	18
Defective_DPAGT1_causes_DPAGT1-CDG_(CDG-1j)_and_CMSTA2	0	0	0	0	0
Interleukin-10_signaling	0	1	0	13	14
Processive_synthesis_on_the_lagging_strand	0	0	0	6	6
SLIT2:ROBO1_increases_RHOA_activity	0	1	0	2	3
Mtb_iron_assimilation_by_chelation	0	0	0	3	3
Separation_of_Sister_Chromatids	0	1	0	14	15
Reverse_Transcription_of_HIV_RNA	0	0	0	0	0
Zinc_influx_into_cells_by_the_SLC39_gene_family	0	0	0	3	3
Thrombin_signalling_through_proteinase_activated_receptors_(PARs)	0	0	0	36	36
Budding_and_maturation_of_HIV_virion	0	1	0	7	8
Transcriptional_regulation_by_RUNX1	0	0	0	0	0
RUNX1_and_FOXP3_control_the_development_of_regulatory_T_lymphocytes_(Tregs)	0	12	0	14	26
Mineralocorticoid_biosynthesis	0	0	0	2	2
RA_biosynthesis_pathway	0	0	0	6	6
Defective_SLC4A1_causes_hereditary_spherocytosis_type_4_(HSP4),_distal_renal_tubular_acidosis_(dRTA)_and_dRTA_with_hemolytic_anemia_(dRTA-HA)	0	0	0	0	0
Fructose_catabolism	0	0	0	1	1
CaMK_IV-mediated_phosphorylation_of_CREB	0	0	0	6	6
Downregulation_of_ERBB2:ERBB3_signaling	0	0	0	9	9
Glycerophospholipid_catabolism	0	0	0	0	0
HS-GAG_degradation	0	0	0	3	3
Defective_CFTR_causes_cystic_fibrosis	0	0	0	6	6
Trafficking_of_myristoylated_proteins_to_the_cilium	0	0	0	9	9
Defective_RHAG_causes_regulator_type_Rh-null_hemolytic_anemia_(RHN)	0	0	0	0	0
Telomere_C-strand_(Lagging_Strand)_Synthesis	0	0	0	7	7
Condensation_of_Prometaphase_Chromosomes	0	0	0	5	5
Signaling_by_FGFR2_amplification_mutants	0	1	0	5	6
Synthesis_of_Dolichyl-phosphate	0	0	0	2	2
Presynaptic_depolarization_and_calcium_channel_opening	0	0	0	5	5
S33_mutants_of_beta-catenin_aren't_phosphorylated	0	0	0	1	1
Gluconeogenesis	0	0	0	8	8
Defective_ABCA1_causes_Tangier_disease	0	0	0	0	0
O2-CO2_exchange_in_erythrocytes	0	0	0	0	0
TFAP2_(AP-2)_family_regulates_transcription_of_other_transcription_factors	0	1	0	2	3
Abacavir_transmembrane_transport	0	0	0	1	1
Defective_ABCA3_causes_pulmonary_surfactant_metabolism_dysfunction_type_3_(SMDP3)	0	0	0	0	0
Biosynthesis_of_A2E,_implicated_in_retinal_degradation	0	0	0	0	0
Synthesis_of_bile_acids_and_bile_salts	0	0	0	3	3
CDK-mediated_phosphorylation_and_removal_of_Cdc6	0	0	0	5	5
ADP_signalling_through_P2Y_purinoceptor_1	0	0	0	21	21
MyD88_deficiency_(TLR2-4)	0	0	0	3	3
Rap1_signalling	0	2	0	10	12
G_alpha_(q)_signalling_events	0	0	0	36	36
Adrenoceptors	0	0	0	18	18
Transfer_of_LPS_from_LBP_carrier_to_CD14	0	0	0	5	5
RUNX3_regulates_p14-ARF	0	1	0	9	10
Constitutive_Signaling_by_NOTCH1_HD_Domain_Mutants	0	0	0	9	9
Gap-filling_DNA_repair_synthesis_and_ligation_in_TC-NER	0	0	0	10	10
Membrane_binding_and_targetting_of_GAG_proteins	0	0	0	3	3
Synthesis_of_very_long-chain_fatty_acyl-CoAs	0	0	0	9	9
Gene_expression_(Transcription)	0	0	0	0	0
Regulation_by_c-FLIP	0	0	0	8	8
MicroRNA_(miRNA)_biogenesis	0	0	0	15	15
Defective_B3GALT6_causes_EDSP2_and_SEMDJL1	0	0	0	1	1
Reversible_hydration_of_carbon_dioxide	0	0	0	3	3
DNA_Replication	0	0	0	0	0
NOSIP_mediated_eNOS_trafficking	0	0	0	1	1
WNT5A-dependent_internalization_of_FZD4	0	0	0	7	7
Signaling_by_FGFR2_in_disease	0	0	0	11	11
Interleukin-20_family_signaling	0	2	0	52	54
rRNA_processing_in_the_mitochondrion	0	0	0	1	1
Metabolism_of_ingested_H2SeO4_and_H2SeO3_into_H2Se	0	0	0	1	1
ER-Phagosome_pathway	0	0	0	13	13
RUNX2_regulates_genes_involved_in_differentiation_of_myeloid_cells	0	1	0	3	4
Signaling_by_FGFR1	0	0	0	0	0
MET_activates_STAT3	0	0	0	2	2
Signaling_by_FGFR3	0	0	0	0	0
Signaling_by_FGFR2	0	0	0	0	0
HHAT_G278V_abrogates_palmitoylation_of_Hh-Np	0	0	0	1	1
Signaling_by_FGFR4	0	0	0	0	0
activated_TAK1_mediates_p38_MAPK_activation	0	0	0	15	15
HIV_Life_Cycle	0	0	0	0	0
Signaling_by_TGF-beta_Receptor_Complex	0	0	0	0	0
Phase_1_-_inactivation_of_fast_Na+_channels	0	0	0	1	1
alpha-linolenic_acid_(ALA)_metabolism	0	0	0	2	2
RNA_Polymerase_II_Transcription_Elongation	0	0	0	15	15
Metabolism_of_water-soluble_vitamins_and_cofactors	0	0	0	0	0
Competing_endogenous_RNAs_(ceRNAs)_regulate_PTEN_translation	0	0	0	16	16
PLC-gamma1_signalling	0	0	0	3	3
BDNF_activates_NTRK2_(TRKB)_signaling	0	0	0	11	11
Biosynthesis_of_maresins	0	0	0	0	0
Defective_MOGS_causes_MOGS-CDG_(CDG-2b)	0	0	0	1	1
Pyrimidine_catabolism	0	0	0	0	0
Regulation_of_RAS_by_GAPs	0	0	0	9	9
Interconversion_of_polyamines	0	0	0	0	0
Polymerase_switching_on_the_C-strand_of_the_telomere	0	0	0	8	8
Defective_ALG1_causes_ALG1-CDG_(CDG-1k)	0	0	0	0	0
Phase_2_-_plateau_phase	0	0	0	3	3
Amino_Acid_conjugation	0	0	0	0	0
HATs_acetylate_histones	0	0	0	15	15
Mitotic_Metaphase-Anaphase_Transition	0	0	0	0	0
MPS_IIIB_-_Sanfilippo_syndrome_B	0	0	0	0	0
Budding	0	0	0	2	2
UCH_proteinases	0	0	0	21	21
Metabolism_of_Angiotensinogen_to_Angiotensins	0	0	0	5	5
DNA_Double_Strand_Break_Response	0	0	0	0	0
Rho_GTPase_cycle	0	0	0	5	5
Sodium-Calcium_exchangers	0	0	0	2	2
AKT-mediated_inactivation_of_FOXO1A	0	0	0	1	1
p38MAPK_events	0	0	0	9	9
Steroid_hormones	0	0	0	0	0
Signaling_by_PTK6	0	0	0	0	0
FGFR2b_ligand_binding_and_activation	0	1	0	12	13
Pentose_phosphate_pathway_disease	0	0	0	0	0
Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface	0	0	0	8	8
Endogenous_sterols	0	0	0	8	8
PI3K-AKT_activation	0	0	0	12	12
Conjugation_of_phenylacetate_with_glutamine	0	0	0	1	1
Defective_ACY1_causes_encephalopathy	0	0	0	0	0
Signaling_by_MET	0	0	0	0	0
Antigen_processing-Cross_presentation	0	0	0	0	0
Defective_GIF_causes_intrinsic_factor_deficiency	0	0	0	0	0
Signaling_by_Receptor_Tyrosine_Kinases	0	0	0	0	0
Pregnenolone_biosynthesis	0	0	0	5	5
N-glycan_trimming_and_elongation_in_the_cis-Golgi	0	0	0	0	0
GLI3_is_processed_to_GLI3R_by_the_proteasome	0	0	0	9	9
Signaling_by_high-kinase_activity_BRAF_mutants	0	0	0	9	9
Defective_HK1_causes_hexokinase_deficiency_(HK_deficiency)	0	0	0	0	0
FGFR3_ligand_binding_and_activation	0	0	0	0	0
Arachidonate_production_from_DAG	0	0	0	2	2
Tryptophan_catabolism	0	0	0	1	1
ATF6_(ATF6-alpha)_activates_chaperone_genes	0	0	0	1	1
Defective_MMAB_causes_methylmalonic_aciduria_type_cblB	0	0	0	0	0
Estrogen_biosynthesis	0	0	0	0	0
Regulation_of_PAK-2p34_activity_by_PS-GAP-RHG10	0	0	0	2	2
Cellular_hexose_transport	0	0	0	3	3
HDR_through_Homologous_Recombination_(HRR)	0	0	0	12	12
Ethanol_oxidation	0	0	0	1	1
Plasma_lipoprotein_assembly	0	0	0	0	0
Deactivation_of_the_beta-catenin_transactivating_complex	0	0	0	24	24
Unblocking_of_NMDA_receptor,_glutamate_binding_and_activation	0	0	0	5	5
Signaling_by_MST1	0	0	0	4	4
PI3K_Cascade	0	0	0	6	6
Tandem_pore_domain_potassium_channels	0	0	0	0	0
Synthesis_of_PIPs_at_the_plasma_membrane	0	0	0	26	26
ATF6_(ATF6-alpha)_activates_chaperones	0	1	0	2	3
Phase_3_-_rapid_repolarisation	0	0	0	2	2
Reproduction	0	0	0	0	0
Retrograde_transport_at_the_Trans-Golgi-Network	0	0	0	30	30
HIV_Transcription_Initiation	0	0	0	10	10
Defective_POMGNT1_causes_MDDGA3,_MDDGB3_and_MDDGC3	0	0	0	0	0
Formation_of_HIV_elongation_complex_in_the_absence_of_HIV_Tat	0	0	0	10	10
Activation_of_anterior_HOX_genes_in_hindbrain_development_during_early_embryogenesis	0	19	0	37	56
Integration_of_provirus	0	0	0	12	12
PKA-mediated_phosphorylation_of_key_metabolic_factors	0	0	0	3	3
PIPs_transport_between_early_endosome_and_Golgi_membranes	0	0	0	1	1
Synthesis_of_pyrophosphates_in_the_cytosol	0	0	0	3	3
Organic_cation_transport	0	0	0	3	3
Defective_MUT_causes_methylmalonic_aciduria_mut_type	0	0	0	0	0
G1-S_Transition	0	0	0	0	0
RUNX3_regulates_CDKN1A_transcription	0	2	0	6	8
TGFBR2_MSI_Frameshift_Mutants_in_Cancer	0	0	0	1	1
Lectin_pathway_of_complement_activation	0	0	0	9	9
Intestinal_infectious_diseases	0	0	0	1	1
Transport_of_connexons_to_the_plasma_membrane	0	0	0	0	0
Defective_DOLK_causes_DOLK-CDG_(CDG-1m)	0	0	0	0	0
BMAL1:CLOCK,NPAS2_activates_circadian_gene_expression	0	10	0	14	24
Synthesis_of_bile_acids_and_bile_salts_via_7alpha-hydroxycholesterol	0	0	0	4	4
Defective_HLCS_causes_multiple_carboxylase_deficiency	0	0	0	2	2
Signaling_by_RAS_mutants	0	0	0	14	14
SEMA3A-Plexin_repulsion_signaling_by_inhibiting_Integrin_adhesion	0	0	0	9	9
Processive_synthesis_on_the_C-strand_of_the_telomere	0	0	0	9	9
Loss_of_Function_of_TGFBR2_in_Cancer	0	0	0	0	0
T41_mutants_of_beta-catenin_aren't_phosphorylated	0	0	0	1	1
PIPs_transport_between_plasma_and_early_endosome_membranes	0	0	0	1	1
Sema4D_in_semaphorin_signaling	0	0	0	0	0
C6_deamination_of_adenosine	0	0	0	0	0
Signalling_to_ERKs	0	0	0	0	0
Transport_of_nucleosides_and_free_purine_and_pyrimidine_bases_across_the_plasma_membrane	0	0	0	2	2
ER_Quality_Control_Compartment_(ERQC)	0	0	0	22	22
Defective_GALT_can_cause_Galactosemia	0	0	0	0	0
Signaling_by_NOTCH1	0	0	0	0	0
Macroautophagy	0	0	0	42	42
AXIN_missense_mutants_destabilize_the_destruction_complex	0	0	0	2	2
Signaling_by_NOTCH2	0	0	0	0	0
O-linked_glycosylation_of_mucins	0	0	0	18	18
Signaling_by_NOTCH3	0	0	0	0	0
Intraflagellar_transport	0	0	0	12	12
Signaling_by_NOTCH4	0	0	0	4	4
