PWY3O-246	GO:0034078
PWY3O-1801	GO:0006636
PANTOSYN2-PWY	GO:0015937
PENTOSE-P-PWY	GO:0006098
NONOXIPENT-PWY	GO:0009052
OXIDATIVEPENT-PWY	GO:0009051
PERIPLASMA-NAD-DEGRADATION	GO:0019677
PWY3O-4153	GO:0009094
PWY3O-4115	GO:0006559
PWY3O-6407	GO:0008654
PWY3O-6499	GO:0008654
PWY3O-450	GO:0006657
PWY-5669	GO:0006646
PWY3O-3	GO:0006661
PWY3O-242	GO:0046854
PHOSLIPSYN2-PWY-1	GO:0008654
PWY3O-259	GO:0046474
LIPASYN-PWY-1	GO:0009395
PWY0-662	GO:0004749
PWY-46	GO:0009446
PLPSAL-PWY	GO:0009443
PYRUVDEHYD-PWY	GO:0006086
PWY3O-440	GO:0045151
YEAST-RIBOSYN-PWY	GO:0042727
SAM-PWY	GO:0006556
PWY3O-2220	GO:0043101
PWY3O-743	GO:0043101
PWY3O-1	GO:0043101
YEAST-SALV-PYRMID-DNTP	GO:0043099
YEAST-RNT-SALV	GO:0010138
PWY3O-230	GO:0006564
PWY-5194-1	GO:0019354
BSUBPOLYAMSYN-PWY	GO:0008295
ARGSPECAT-PWY	GO:0019548
SPHINGOLIPID-SYN-PWY-1	GO:0030148
PWY3O-355	GO:0006633
SUCUTIL-PWY-2	GO:0005987
PWY-5340	GO:0050427
PWY-781	GO:0000103
DETOX1-PWY	GO:0019430
PWY3O-981	GO:1902652
PWY-6126-1	GO:0046086
ALLANTOINDEG-PWY	GO:0000256
COMPLETE-ARO-PWY-1	GO:0009073
BRANCHED-CHAIN-AA-SYN-PWY-1	GO:0009082
ALL-CHORISMATE-PWY-1	GO:0046417
ERGOSTEROL-SYN-PWY-1	GO:0006696
PWY3O-6336	GO:0019367
PWY3O-5962	GO:0006633
GLUCFERMEN-PWY	GO:0019658
PWY3O-13	GO:0097054
PWY3O-114	GO:0006749
PWY-6125	GO:0106387
PWY3O-69	GO:0006783
PRPP-PWY-1	GO:0009165
THRESYN-PWY	GO:0009088
PWY3O-954	GO:0009086
PWY3O-351	GO:0071267
PWY3O-4158	GO:0009435
PWY3O-6635	GO:0006654
PHOS-PWY	GO:0008654
PWY3O-2	GO:0008654
POLYAMSYN-YEAST-PWY	GO:0006596
PWY3O-285	GO:0043101
DENOVOPURINE2-PWY	GO:0006164
PWY0-162	GO:0009220
PWY3O-261	GO:0009070
PWY-821-1	GO:0000097
PWY3O-94	GO:0044238
FOLSYN-PWY-1	GO:0035999
P4-PWY-1	GO:0006566
PWY3O-7	GO:0009088
PWY3O-862	GO:0006744
TCA-EUK-PWY	GO:0009060
PWY-6614	GO:0046654
PWY3O-50	GO:0033014
PWY3O-17	GO:0009228
THIOREDOX-PWY	GO:0006125
THREOCAT2-PWY	GO:0006567
TRESYN-PWY	GO:0005992
TREDEG-YEAST-PWY	GO:0005993
PWY3O-214	GO:0006569
PWY3O-4120	GO:0006571
PWY3O-19	GO:0009058
UDPNAGSYN-YEAST-PWY	GO:0006048
PWY-5686-1	GO:0044205
PWY-5703	GO:0043419
PWY-7176	GO:0006207
PWY3O-4105	GO:0006574
PWY-5080-1	GO:0042761
PWY3O-8	GO:0042732
PWY3O-5	GO:0005998
PWY-6074-1	GO:0036197
