BP	bp_count	mf_count	complex_count	distinct_protein_count	distinct_chemical_count	distinct_cc_count	distinct_relation_count
NOD1-2_Signaling_Pathway	1	26	54	8	8	4	7
Signaling_by_ROBO_receptors	1	23	42	12	2	4	6
Activation_and_oligomerization_of_BAK_protein	4	3	4	4	0	3	6
Synthesis_of_PE	3	25	9	11	44	4	6
Gap_junction_degradation	1	3	6	1	0	2	6
AURKA_Activation_by_TPX2	1	2	5	2	5	2	5
Synthesis_of_PC	4	35	19	18	50	12	6
Synthesis_of_PI	1	10	5	3	23	3	5
SLC_transporter_disorders	1	0	0	0	0	0	0
TCR_signaling	1	0	0	0	0	0	0
Synthesis_of_PG	3	16	7	9	29	7	6
Protein_localization	1	0	0	0	0	0	0
Interleukin-27_signaling	3	25	60	10	5	6	7
Neurotransmitter_uptake_and_metabolism_In_glial_cells	1	0	0	0	0	0	0
GABA_receptor_activation	1	1	2	1	0	3	3
Transport_of_Mature_mRNA_derived_from_an_Intron-Containing_Transcript	5	14	32	25	8	3	7
Lysine_catabolism	1	16	1	12	37	4	6
Metabolism_of_folate_and_pterines	2	30	7	15	34	5	6
Beta_oxidation_of_hexanoyl-CoA_to_butanoyl-CoA	2	8	7	3	21	3	6
Synthesis_of_PA	3	32	16	13	51	9	6
Defective_MMAA_causes_methylmalonic_aciduria_type_cblA	1	1	1	0	2	1	3
E3_ubiquitin_ligases_ubiquitinate_target_proteins	1	18	66	15	0	8	6
Peptide_ligand-binding_receptors	4	47	76	44	5	7	6
Phospholipase_C-mediated_cascade;_FGFR4	1	6	13	1	11	3	5
Phospholipase_C-mediated_cascade;_FGFR3	1	6	13	1	11	3	5
Translation_initiation_complex_formation	1	4	13	5	6	1	6
Inflammasomes	1	0	0	0	0	0	0
ARMS-mediated_activation	1	6	15	1	7	3	5
TP53_regulates_transcription_of_additional_cell_cycle_genes_whose_exact_role_in_the_p53_pathway_remain_uncertain	1	18	3	11	5	2	7
The_fatty_acid_cycling_model	4	9	13	1	13	3	6
TP53_Regulates_Transcription_of_Death_Receptors_and_Ligands	1	12	10	8	5	3	7
NR1D1_(REV-ERBA)_represses_gene_expression	1	2	4	3	3	1	6
Nuclear_Envelope_Reassembly	1	0	0	0	0	0	0
RNA_Polymerase_II_Transcription_Initiation_And_Promoter_Clearance	1	4	10	0	6	1	6
Integrin_cell_surface_interactions	1	55	117	23	2	2	6
Synthesis_of_PS	3	12	5	5	25	3	5
Regulation_of_gene_expression_in_late_stage_(branching_morphogenesis)_pancreatic_bud_precursor_cells	1	11	5	9	0	1	8
Intrinsic_Pathway_for_Apoptosis	1	0	0	0	0	0	0
ERK-MAPK_targets	3	10	14	6	8	2	7
Tat-mediated_elongation_of_the_HIV-1_transcript	1	8	20	2	0	1	6
Phospholipase_C-mediated_cascade;_FGFR2	1	6	11	1	11	3	6
Downstream_signaling_events_of_B_Cell_Receptor_(BCR)	1	0	0	0	0	0	0
GABA_A_receptor_activation	1	1	1	0	3	3	4
MyD88:MAL(TIRAP)_cascade_initiated_on_plasma_membrane	2	25	63	7	7	4	6
Physiological_factors	1	5	5	8	0	3	7
Glucuronidation	3	8	3	4	22	4	6
RUNX1_regulates_estrogen_receptor_mediated_transcription	1	10	15	6	0	3	8
NCAM_signaling_for_neurite_out-growth	2	17	24	11	8	3	6
Localization_of_the_PINCH-ILK-PARVIN_complex_to_focal_adhesions	1	2	2	4	0	2	3
Degradation_of_DVL	1	7	20	4	0	1	6
Cell-extracellular_matrix_interactions	1	4	7	4	0	1	4
IGF1R_signaling_cascade	1	0	0	0	0	0	0
Transport_of_inorganic_cations-anions_and_amino_acids-oligopeptides	8	17	4	13	24	9	6
RNA_Polymerase_III_Transcription_Initiation_From_Type_1_Promoter	4	7	14	1	0	1	6
Base-Excision_Repair,_AP_Site_Formation	1	0	0	0	0	0	0
Synthesis_of_PIPs_at_the_early_endosome_membrane	4	16	13	7	16	4	6
Aryl_hydrocarbon_receptor_signalling	1	5	10	2	4	2	4
RNA_Polymerase_II_Transcription_Initiation	1	6	15	0	8	1	6
Platelet_Adhesion_to_exposed_collagen	1	10	17	8	6	3	6
APC-Cdc20_mediated_degradation_of_Nek2A	1	4	12	1	0	1	6
Defective_SLC2A1_causes_GLUT1_deficiency_syndrome_1_(GLUT1DS1)	1	1	0	0	3	1	3
p75NTR_signals_via_NF-kB	1	0	0	0	0	0	0
ISG15_antiviral_mechanism	2	17	48	11	7	3	7
Rab_regulation_of_trafficking	1	0	0	0	0	0	0
Signaling_by_Retinoic_Acid	5	11	18	3	17	6	7
RNA_Polymerase_I_Promoter_Opening	1	3	5	2	5	1	6
G_alpha_(s)_signalling_events	1	51	104	30	20	3	8
Inactivation_of_APC-C_via_direct_inhibition_of_the_APC-C_complex	2	6	14	5	0	1	6
DSCAM_interactions	1	6	10	4	5	3	6
Interleukin-18_signaling	1	4	8	4	0	4	7
Eicosanoid_ligand-binding_receptors	1	1	0	1	5	2	3
Ketone_body_metabolism	1	0	0	0	0	0	0
Type_I_hemidesmosome_assembly	1	6	14	3	0	3	5
RUNX3_Regulates_Immune_Response_and_Cell_Migration	1	6	9	4	0	3	7
TLR3-mediated_TICAM1-dependent_programmed_cell_death	3	4	10	4	0	3	5
Recognition_and_association_of_DNA_glycosylase_with_site_containing_an_affected_pyrimidine	1	34	0	8	12	1	6
Defective_SLC34A3_causes_Hereditary_hypophosphatemic_rickets_with_hypercalciuria_(HHRH)	1	1	0	0	4	1	3
Signaling_by_EGFR	2	13	28	10	5	3	7
Ovarian_tumor_domain_proteases	1	16	32	12	7	5	7
Defective_SLC35A2_causes_congenital_disorder_of_glycosylation_2M_(CDG2M)	1	1	0	0	3	2	2
NOTCH4_Intracellular_Domain_Regulates_Transcription	9	10	12	9	0	3	7
Recognition_of_DNA_damage_by_PCNA-containing_replication_complex	1	11	31	6	0	1	6
Regulation_of_thyroid_hormone_activity	1	3	2	2	12	3	5
Nitric_oxide_stimulates_guanylate_cyclase	2	7	6	0	19	2	6
Hh_mutants_that_don't_undergo_autocatalytic_processing_are_degraded_by_ERAD	1	6	15	0	9	5	6
Fertilization	1	0	0	0	0	0	0
Chemokine_receptors_bind_chemokines	1	20	34	25	0	3	4
MET_promotes_cell_motility	1	0	0	0	0	0	0
Inwardly_rectifying_K+_channels	1	0	0	0	0	0	0
Diseases_associated_with_the_TLR_signaling_cascade	1	0	0	0	0	0	0
Signaling_by_Leptin	2	27	65	5	5	4	7
Transcriptional_activation_of_cell_cycle_inhibitor_p21	2	13	13	9	5	2	8
Common_Pathway_of_Fibrin_Clot_Formation	2	33	54	19	4	2	8
Formation_of_apoptosome	2	6	9	5	5	4	6
Synthesis_of_GDP-mannose	1	3	2	1	9	1	6
phosphorylation_site_mutants_of_CTNNB1_are_not_targeted_to_the_proteasome_by_the_destruction_complex	1	0	0	0	0	0	0
Elastic_fibre_formation	1	7	13	3	0	2	6
TRAF6_mediated_IRF7_activation_in_TLR7-8_or_9_signaling	3	7	17	2	5	4	7
Abacavir_transport_and_metabolism	1	0	0	0	0	0	0
mTOR_signalling	2	16	40	11	9	4	8
Urea_cycle	1	13	2	10	30	3	6
Defective_CYP26C1_causes_Focal_facial_dermal_dysplasia_4_(FFDD4)	1	1	0	0	8	1	3
RNA_polymerase_II_transcribes_snRNA_genes	1	11	43	9	8	1	6
Gamma_carboxylation,_hypusine_formation_and_arylsulfatase_activation	1	3	0	3	11	2	5
DNA_strand_elongation	1	0	0	0	0	0	0
Non-integrin_membrane-ECM_interactions	1	7	8	7	0	3	4
Hedgehog_ligand_biogenesis	1	13	36	5	11	7	6
Signaling_by_NOTCH	1	0	0	0	0	0	0
Oxygen-dependent_proline_hydroxylation_of_Hypoxia-inducible_Factor_Alpha	1	13	29	3	8	2	6
Presynaptic_nicotinic_acetylcholine_receptors	1	0	0	0	0	0	0
Regulated_proteolysis_of_p75NTR	3	3	3	3	0	5	6
Pentose_phosphate_pathway	1	28	8	14	36	1	6
Proton-coupled_neutral_amino_acid_transporters	1	2	0	2	2	3	4
ALKBH3_mediated_reversal_of_alkylation_damage	2	6	15	0	10	1	6
Androgen_biosynthesis	2	11	7	2	25	4	5
NEP-NS2_Interacts_with_the_Cellular_Export_Machinery	3	2	6	2	3	3	6
WNT_mediated_activation_of_DVL	1	4	8	2	7	2	6
Activation_of_PKB	1	10	10	5	7	5	6
M_Phase	1	0	0	0	0	0	0
Meiotic_recombination	1	11	20	24	6	1	6
Dual_Incision_in_GG-NER	4	5	20	3	5	1	6
Transcription_of_E2F_targets_under_negative_control_by_p107_(RBL1)_and_p130_(RBL2)_in_complex_with_HDAC1	1	12	22	5	0	1	7
Defective_ABCC6_causes_pseudoxanthoma_elasticum_(PXE)	1	1	0	0	7	1	3
Signal_attenuation	1	13	31	2	8	3	6
Vpr-mediated_nuclear_import_of_PICs	2	3	8	1	0	3	5
Tie2_Signaling	1	15	30	11	7	3	5
Recruitment_of_NuMA_to_mitotic_centrosomes	1	3	6	1	5	3	5
Synthesis_of_5-eicosatetraenoic_acids	2	6	3	2	20	4	6
Estrogen-dependent_gene_expression	1	69	110	48	6	8	8
APC-C:Cdc20_mediated_degradation_of_mitotic_proteins	3	5	15	2	0	1	6
MET_activates_PTK2_signaling	1	6	17	2	5	3	5
Protein_repair	1	7	1	3	14	1	6
Creation_of_C4_and_C2_activators	1	0	0	0	0	0	0
EPH-ephrin_mediated_repulsion_of_cells	1	9	28	4	7	3	6
COPI-independent_Golgi-to-ER_retrograde_traffic	1	7	17	3	14	3	6
Biosynthesis_of_D-series_resolvins	2	11	0	5	22	2	6
RHO_GTPases_activate_PKNs	2	14	32	6	10	3	6
Cilium_Assembly	1	2	4	2	5	1	5
Toll_Like_Receptor_2_(TLR2)_Cascade	1	0	0	0	0	0	0
Depolymerisation_of_the_Nuclear_Lamina	1	9	25	1	11	5	7
Glyoxylate_metabolism_and_glycine_degradation	11	24	0	21	37	6	6
Cell_redox_homeostasis	1	13	4	9	21	2	6
Beta_oxidation_of_octanoyl-CoA_to_hexanoyl-CoA	2	8	7	4	21	3	6
Adherens_junctions_interactions	2	7	12	4	2	4	6
Degradation_of_GABA	1	2	0	2	13	2	5
TGFBR1_LBD_Mutants_in_Cancer	1	1	2	0	0	3	2
Defective_Mismatch_Repair_Associated_With_MSH6	1	1	0	1	0	1	3
MAP2K_and_MAPK_activation	1	10	32	1	5	5	5
Defective_Mismatch_Repair_Associated_With_MSH3	1	1	0	2	0	1	3
Developmental_Biology	1	0	0	0	0	0	0
Amine_ligand-binding_receptors	1	3	4	1	6	3	4
Defective_Mismatch_Repair_Associated_With_MSH2	1	2	2	2	0	1	3
Defects_in_cobalamin_(B12)_metabolism	1	0	0	0	0	0	0
SMAC-mediated_apoptotic_response	1	0	0	0	0	0	0
Repression_of_WNT_target_genes	1	7	16	2	0	1	7
Activation_of_AMPA_receptors	1	6	12	4	10	4	5
Signaling_by_moderate_kinase_activity_BRAF_mutants	1	8	27	0	5	3	5
Defective_SLC7A9_causes_cystinuria_(CSNU)	1	1	0	0	2	2	2
Nef_and_signal_transduction	2	5	5	9	0	2	4
Diseases_of_glycosylation	1	0	0	0	0	0	0
SOS-mediated_signalling	1	6	15	2	7	3	6
Visual_phototransduction	1	0	0	0	0	0	0
p75NTR_recruits_signalling_complexes	1	11	24	8	5	3	6
Synthesis_of_UDP-N-acetyl-glucosamine	1	9	1	8	25	3	6
DNA_methylation	1	7	19	2	6	1	6
Autodegradation_of_the_E3_ubiquitin_ligase_COP1	2	7	9	5	5	2	6
Downregulation_of_ERBB4_signaling	1	4	11	2	0	2	6
Protein_methylation	1	9	0	17	6	3	5
Agmatine_biosynthesis	1	2	0	2	10	2	5
Signaling_by_FGFR3_in_disease	1	0	0	0	0	0	0
Microtubule-dependent_trafficking_of_connexons_from_Golgi_to_the_plasma_membrane	4	1	1	1	0	4	5
IKK_complex_recruitment_mediated_by_RIP1	1	7	19	4	0	3	6
Nonsense_Mediated_Decay_(NMD)_independent_of_the_Exon_Junction_Complex_(EJC)	1	1	2	1	0	1	4
Respiratory_electron_transport	9	31	25	9	61	5	6
eNOS_activation_and_regulation	1	0	0	0	0	0	0
DAG_and_IP3_signaling	4	33	50	11	21	9	6
Defective_CYP26B1_causes_Radiohumeral_fusions_with_other_skeletal_and_craniofacial_anomalies_(RHFCA)	1	1	0	0	8	1	3
Zinc_efflux_and_compartmentalization_by_the_SLC30_family	1	9	2	7	4	11	5
Formation_of_tubulin_folding_intermediates_by_CCT-TriC	1	7	17	4	7	1	6
Signaling_by_NTRK1_(TRKA)	1	0	0	0	0	0	0
Defects_in_vitamin_and_cofactor_metabolism	1	0	0	0	0	0	0
Collagen_biosynthesis_and_modifying_enzymes	1	52	99	20	11	4	7
Defective_CYP27A1_causes_Cerebrotendinous_xanthomatosis_(CTX)	1	2	0	0	9	1	3
TNFR1-induced_NFkappaB_signaling_pathway	1	8	25	5	0	3	5
Defective_SLC29A3_causes_histiocytosis-lymphadenopathy_plus_syndrome_(HLAS)	1	1	0	0	0	1	3
PI5P_Regulates_TP53_Acetylation	3	10	11	9	12	4	6
Collagen_formation	1	0	0	0	0	0	0
Muscle_contraction	1	0	0	0	0	0	0
Fusion_of_the_Influenza_Virion_to_the_Host_Cell_Endosome	5	5	12	0	3	4	6
Signal_transduction_by_L1	1	15	23	12	7	3	6
Regulation_of_RUNX3_expression_and_activity	3	20	33	8	5	4	8
PI_Metabolism	1	1	1	0	0	3	4
p75NTR_regulates_axonogenesis	1	0	0	0	0	0	0
Defective_POMT2_causes_MDDGA2,_MDDGB2_and_MDDGC2	1	1	0	1	2	2	2
Amine-derived_hormones	1	0	0	0	0	0	0
Signaling_by_NTRKs	1	0	0	0	0	0	0
Generation_of_second_messenger_molecules	2	20	37	10	10	2	6
Elevation_of_cytosolic_Ca2+_levels	2	13	20	3	9	6	5
p75NTR_negatively_regulates_cell_cycle_via_SC1	2	2	4	1	0	4	6
Autodegradation_of_Cdh1_by_Cdh1:APC-C	3	3	12	0	0	2	6
Defective_AVP_does_not_bind_AVPR2_and_causes_neurohypophyseal_diabetes_insipidus_(NDI)	1	1	1	1	0	2	2
Defective_CHST3_causes_SEDCJD	1	1	1	0	3	1	3
Catecholamine_biosynthesis	3	5	0	5	19	4	6
Formation_of_annular_gap_junctions	1	3	7	2	0	2	6
Ligand-independent_caspase_activation_via_DCC	2	30	10	29	5	4	6
MET_Receptor_Activation	1	19	41	15	8	3	7
Formation_of_Senescence-Associated_Heterochromatin_Foci_(SAHF)	1	2	6	6	0	1	6
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	1	11	25	5	12	1	6
Viral_RNP_Complexes_in_the_Host_Cell_Nucleus	2	3	5	6	0	1	6
Defective_ABCB11_causes_progressive_familial_intrahepatic_cholestasis_2_and_benign_recurrent_intrahepatic_cholestasis_2	1	1	0	0	6	1	3
Hereditary_fructose_intolerance	1	1	0	0	1	1	3
RHO_GTPases_activate_CIT	1	8	18	7	10	2	7
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	16	15	30	9	5	6	6
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	1	10	24	1	13	3	7
Non-coding_RNA_Metabolism	1	0	0	0	0	0	0
Porphyrin_metabolism	1	0	0	0	0	0	0
p53-Independent_G1-S_DNA_damage_checkpoint	1	0	0	0	0	0	0
CREB_phosphorylation_through_the_activation_of_CaMKK	1	5	8	3	5	2	6
Loss_of_MECP2_binding_ability_to_5hmC-DNA	1	1	0	0	0	1	3
HuR_(ELAVL1)_binds_and_stabilizes_mRNA	1	7	2	8	5	2	6
Defective_SLC5A2_causes_renal_glucosuria_(GLYS1)	1	1	0	0	4	1	3
FMO_oxidises_nucleophiles	1	3	0	3	15	2	4
Defective_ALG11_causes_ALG11-CDG_(CDG-1p)	1	1	0	0	4	2	2
Glycosphingolipid_metabolism	2	32	11	22	40	8	7
Death_Receptor_Signalling	1	0	0	0	0	0	0
Signaling_by_SCF-KIT	2	30	66	9	9	4	6
VLDL_clearance	1	4	7	6	0	2	6
Eukaryotic_Translation_Initiation	1	0	0	0	0	0	0
Diseases_associated_with_surfactant_metabolism	1	0	0	0	0	0	0
Biosynthesis_of_DPAn-3-derived_13-series_resolvins	2	3	0	2	7	3	6
Defective_AVP_does_not_bind_AVPR1A,B_and_causes_neurohypophyseal_diabetes_insipidus_(NDI)	1	1	2	0	0	2	2
Initiation_of_Nuclear_Envelope_Reformation	1	3	6	2	6	6	6
Transcriptional_regulation_by_RUNX3	1	0	0	0	0	0	0
Transcriptional_regulation_by_RUNX2	1	26	60	9	9	3	8
Amyloid_fiber_formation	4	30	37	14	10	10	6
Processive_synthesis_on_the_lagging_strand	1	6	13	2	0	1	6
Defective_DPAGT1_causes_DPAGT1-CDG_(CDG-1j)_and_CMSTA2	1	1	0	0	4	2	2
Interleukin-10_signaling	2	17	28	3	5	5	7
SLIT2:ROBO1_increases_RHOA_activity	1	3	4	4	6	2	6
Mtb_iron_assimilation_by_chelation	4	8	8	3	14	4	6
Separation_of_Sister_Chromatids	3	10	25	6	5	2	7
Reverse_Transcription_of_HIV_RNA	1	0	0	0	0	0	0
Zinc_influx_into_cells_by_the_SLC39_gene_family	1	6	3	3	3	5	4
Thrombin_signalling_through_proteinase_activated_receptors_(PARs)	1	25	67	10	4	3	5
Budding_and_maturation_of_HIV_virion	1	3	9	3	0	5	6
Transcriptional_regulation_by_RUNX1	1	0	0	0	0	0	0
RUNX1_and_FOXP3_control_the_development_of_regulatory_T_lymphocytes_(Tregs)	1	21	40	10	0	3	8
Mineralocorticoid_biosynthesis	3	7	3	3	19	5	6
RA_biosynthesis_pathway	1	14	8	7	20	6	6
Defective_SLC4A1_causes_hereditary_spherocytosis_type_4_(HSP4),_distal_renal_tubular_acidosis_(dRTA)_and_dRTA_with_hemolytic_anemia_(dRTA-HA)	1	1	0	0	4	2	2
Fructose_catabolism	1	7	1	6	19	1	6
CaMK_IV-mediated_phosphorylation_of_CREB	2	13	15	5	6	2	6
Downregulation_of_ERBB2:ERBB3_signaling	2	11	22	4	5	3	6
Glycerophospholipid_catabolism	1	7	0	7	15	4	5
HS-GAG_degradation	2	14	7	7	24	6	6
Defective_CFTR_causes_cystic_fibrosis	1	7	12	1	10	5	6
Trafficking_of_myristoylated_proteins_to_the_cilium	1	8	17	3	0	2	6
Telomere_C-strand_(Lagging_Strand)_Synthesis	5	4	13	3	0	1	6
Condensation_of_Prometaphase_Chromosomes	1	4	9	0	8	1	7
Defective_RHAG_causes_regulator_type_Rh-null_hemolytic_anemia_(RHN)	1	1	0	0	3	1	3
Signaling_by_FGFR2_amplification_mutants	1	4	9	0	5	3	7
Synthesis_of_Dolichyl-phosphate	1	9	2	6	27	3	6
Presynaptic_depolarization_and_calcium_channel_opening	1	4	9	7	7	7	5
S33_mutants_of_beta-catenin_aren't_phosphorylated	1	1	1	0	4	1	3
Gluconeogenesis	3	33	9	23	38	7	6
Defective_ABCA1_causes_Tangier_disease	1	1	0	0	7	2	2
O2-CO2_exchange_in_erythrocytes	1	0	0	0	0	0	0
TFAP2_(AP-2)_family_regulates_transcription_of_other_transcription_factors	1	3	6	3	0	1	6
Abacavir_transmembrane_transport	1	5	1	3	16	4	5
Defective_ABCA3_causes_pulmonary_surfactant_metabolism_dysfunction_type_3_(SMDP3)	1	1	0	0	6	2	2
Biosynthesis_of_A2E,_implicated_in_retinal_degradation	3	5	0	2	14	4	6
Synthesis_of_bile_acids_and_bile_salts	1	6	3	4	15	5	5
CDK-mediated_phosphorylation_and_removal_of_Cdc6	2	3	7	1	5	2	6
ADP_signalling_through_P2Y_purinoceptor_1	1	18	35	7	9	5	6
MyD88_deficiency_(TLR2-4)	1	2	3	1	0	3	2
Rap1_signalling	1	10	21	3	13	2	7
G_alpha_(q)_signalling_events	1	60	102	36	24	6	5
Adrenoceptors	1	10	22	3	0	4	5
Transfer_of_LPS_from_LBP_carrier_to_CD14	1	5	5	2	2	2	6
RUNX3_regulates_p14-ARF	1	10	20	7	8	4	7
Constitutive_Signaling_by_NOTCH1_HD_Domain_Mutants	1	6	9	5	0	3	5
Gap-filling_DNA_repair_synthesis_and_ligation_in_TC-NER	1	4	17	5	5	1	6
Membrane_binding_and_targetting_of_GAG_proteins	1	4	8	2	5	3	6
Regulation_by_c-FLIP	1	7	15	2	0	3	6
Synthesis_of_very_long-chain_fatty_acyl-CoAs	1	14	9	5	35	3	6
Gene_expression_(Transcription)	1	0	0	0	0	0	0
MicroRNA_(miRNA)_biogenesis	2	12	22	4	7	2	6
Defective_B3GALT6_causes_EDSP2_and_SEMDJL1	1	1	1	0	3	1	3
Reversible_hydration_of_carbon_dioxide	1	12	9	2	18	4	6
DNA_Replication	1	0	0	0	0	0	0
NOSIP_mediated_eNOS_trafficking	1	2	3	2	0	3	5
WNT5A-dependent_internalization_of_FZD4	1	6	13	5	5	6	5
Signaling_by_FGFR2_in_disease	1	10	21	3	9	3	6
Interleukin-20_family_signaling	4	58	126	17	5	4	8
rRNA_processing_in_the_mitochondrion	2	2	1	2	0	1	6
Metabolism_of_ingested_H2SeO4_and_H2SeO3_into_H2Se	1	10	2	2	28	1	6
ER-Phagosome_pathway	5	11	21	5	10	10	6
Signaling_by_FGFR1	1	0	0	0	0	0	0
RUNX2_regulates_genes_involved_in_differentiation_of_myeloid_cells	1	4	8	2	0	2	7
MET_activates_STAT3	2	7	13	1	5	4	6
Signaling_by_FGFR3	1	0	0	0	0	0	0
Signaling_by_FGFR2	1	0	0	0	0	0	0
Signaling_by_FGFR4	1	0	0	0	0	0	0
HHAT_G278V_abrogates_palmitoylation_of_Hh-Np	1	1	1	0	0	1	3
activated_TAK1_mediates_p38_MAPK_activation	1	13	33	3	5	5	6
Signaling_by_TGF-beta_Receptor_Complex	1	0	0	0	0	0	0
HIV_Life_Cycle	1	0	0	0	0	0	0
Phase_1_-_inactivation_of_fast_Na+_channels	1	1	1	0	3	3	4
alpha-linolenic_acid_(ALA)_metabolism	2	14	2	10	34	4	6
RNA_Polymerase_II_Transcription_Elongation	1	9	30	10	0	1	6
Metabolism_of_water-soluble_vitamins_and_cofactors	1	0	0	0	0	0	0
Competing_endogenous_RNAs_(ceRNAs)_regulate_PTEN_translation	1	11	22	0	0	1	4
PLC-gamma1_signalling	1	5	10	1	10	3	5
BDNF_activates_NTRK2_(TRKB)_signaling	1	8	18	5	5	3	5
Biosynthesis_of_maresins	2	7	0	3	16	2	6
Defective_MOGS_causes_MOGS-CDG_(CDG-2b)	1	1	1	0	0	2	2
Pyrimidine_catabolism	3	17	0	12	28	4	6
Regulation_of_RAS_by_GAPs	1	5	14	1	0	2	5
Interconversion_of_polyamines	3	5	0	3	16	2	6
Polymerase_switching_on_the_C-strand_of_the_telomere	7	6	16	1	9	1	6
Defective_ALG1_causes_ALG1-CDG_(CDG-1k)	1	1	0	0	4	2	2
Phase_2_-_plateau_phase	1	2	4	0	4	3	4
Amino_Acid_conjugation	1	0	0	0	0	0	0
Mitotic_Metaphase-Anaphase_Transition	3	1	0	2	5	2	6
HATs_acetylate_histones	1	15	17	9	5	2	5
MPS_IIIB_-_Sanfilippo_syndrome_B	1	2	0	0	7	1	3
Budding	2	1	2	0	2	3	3
UCH_proteinases	1	14	33	7	6	5	6
Metabolism_of_Angiotensinogen_to_Angiotensins	17	20	8	11	6	4	6
DNA_Double_Strand_Break_Response	1	0	0	0	0	0	0
Rho_GTPase_cycle	1	5	12	0	5	2	6
Sodium-Calcium_exchangers	1	4	2	2	6	6	4
OAS_antiviral_response	1	15	3	10	9	1	6
AKT-mediated_inactivation_of_FOXO1A	2	1	1	1	5	2	6
p38MAPK_events	1	8	19	3	7	3	7
Signaling_by_PTK6	1	0	0	0	0	0	0
FGFR2b_ligand_binding_and_activation	1	7	15	3	7	3	7
Pentose_phosphate_pathway_disease	1	0	0	0	0	0	0
Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface	1	4	8	0	2	2	4
Endogenous_sterols	10	28	13	16	48	7	6
PI3K-AKT_activation	5	10	17	3	10	3	6
Conjugation_of_phenylacetate_with_glutamine	1	2	1	0	12	1	6
Signaling_by_MET	1	0	0	0	0	0	0
Defective_ACY1_causes_encephalopathy	1	1	0	0	5	1	3
Antigen_processing-Cross_presentation	1	0	0	0	0	0	0
Pregnenolone_biosynthesis	3	9	8	3	19	6	7
Signaling_by_Receptor_Tyrosine_Kinases	1	0	0	0	0	0	0
Defective_GIF_causes_intrinsic_factor_deficiency	1	1	0	1	4	1	3
GLI3_is_processed_to_GLI3R_by_the_proteasome	2	7	21	4	6	5	5
N-glycan_trimming_and_elongation_in_the_cis-Golgi	1	5	3	2	13	2	5
Signaling_by_high-kinase_activity_BRAF_mutants	1	6	14	1	5	3	6
Defective_HK1_causes_hexokinase_deficiency_(HK_deficiency)	1	1	0	0	5	1	3
Arachidonate_production_from_DAG	1	6	7	2	14	2	6
FGFR3_ligand_binding_and_activation	1	0	0	0	0	0	0
