pathway	new_bp	new_mf	new_cc	new_complex	new_total	deepened_bp	deepened_mf	deepened_cc	deepened_complex	deepened_total
TP53_regulates_transcription_of_additional_cell_cycle_genes_whose_exact_role_in_the_p53_pathway_remain_uncertain	0	1	0	0	1	0	5	0	0	5
The_fatty_acid_cycling_model	0	1	0	5	6	3	1	0	0	4
TP53_Regulates_Transcription_of_Death_Receptors_and_Ligands	0	3	0	0	3	0	2	0	0	2
NR1D1_(REV-ERBA)_represses_gene_expression	0	1	0	0	1	0	0	0	0	0
Nuclear_Envelope_Reassembly	0	0	0	0	0	0	0	0	0	0
RNA_Polymerase_II_Transcription_Initiation_And_Promoter_Clearance	0	1	0	1	2	0	0	0	0	0
Integrin_cell_surface_interactions	0	51	0	1	52	0	0	0	0	0
Synthesis_of_PS	0	0	0	5	5	3	0	0	0	3
Regulation_of_gene_expression_in_late_stage_(branching_morphogenesis)_pancreatic_bud_precursor_cells	0	2	0	0	2	0	4	0	0	4
Intrinsic_Pathway_for_Apoptosis	0	0	0	0	0	0	0	0	0	0
ERK-MAPK_targets	2	0	0	7	9	0	1	0	0	1
Tat-mediated_elongation_of_the_HIV-1_transcript	0	3	0	0	3	0	0	0	0	0
Phospholipase_C-mediated_cascade;_FGFR2	0	1	0	3	4	0	0	0	0	0
Downstream_signaling_events_of_B_Cell_Receptor_(BCR)	0	0	0	0	0	0	0	0	0	0
GABA_A_receptor_activation	0	0	0	1	1	0	0	0	0	0
MyD88:MAL(TIRAP)_cascade_initiated_on_plasma_membrane	0	9	0	7	16	1	0	0	0	1
Physiological_factors	0	1	0	0	1	0	0	0	0	0
Glucuronidation	0	0	0	3	3	2	0	0	0	2
RUNX1_regulates_estrogen_receptor_mediated_transcription	0	4	0	0	4	0	1	0	0	1
NCAM_signaling_for_neurite_out-growth	1	0	0	4	5	0	2	0	0	2
Localization_of_the_PINCH-ILK-PARVIN_complex_to_focal_adhesions	0	0	0	0	0	0	0	0	0	0
Degradation_of_DVL	0	1	0	4	5	0	0	0	0	0
Cell-extracellular_matrix_interactions	0	2	0	0	2	0	0	0	0	0
IGF1R_signaling_cascade	0	0	0	0	0	0	0	0	0	0
Transport_of_inorganic_cations-anions_and_amino_acids-oligopeptides	0	0	0	4	4	7	0	0	0	7
RNA_Polymerase_III_Transcription_Initiation_From_Type_1_Promoter	0	3	0	0	3	0	0	0	0	0
Base-Excision_Repair,_AP_Site_Formation	0	0	0	0	0	0	0	0	0	0
Synthesis_of_PIPs_at_the_early_endosome_membrane	0	0	0	10	10	3	0	0	0	3
Aryl_hydrocarbon_receptor_signalling	0	5	0	0	5	0	0	0	0	0
RNA_Polymerase_II_Transcription_Initiation	0	0	0	3	3	1	0	0	0	1
Platelet_Adhesion_to_exposed_collagen	0	2	0	1	3	0	0	0	0	0
APC-Cdc20_mediated_degradation_of_Nek2A	0	1	0	1	2	0	0	0	0	0
Defective_SLC2A1_causes_GLUT1_deficiency_syndrome_1_(GLUT1DS1)	0	0	0	0	0	0	0	0	0	0
p75NTR_signals_via_NF-kB	0	0	0	0	0	0	0	0	0	0
ISG15_antiviral_mechanism	0	4	0	7	11	0	7	0	0	7
Rab_regulation_of_trafficking	0	0	0	0	0	0	0	0	0	0
Signaling_by_Retinoic_Acid	2	3	0	5	10	0	0	0	0	0
RNA_Polymerase_I_Promoter_Opening	0	1	0	0	1	1	0	0	0	1
G_alpha_(s)_signalling_events	0	29	0	7	36	0	2	0	0	2
Inactivation_of_APC-C_via_direct_inhibition_of_the_APC-C_complex	0	3	0	0	3	0	0	0	0	0
DSCAM_interactions	0	2	0	2	4	0	0	0	0	0
Interleukin-18_signaling	0	1	0	0	1	0	0	0	0	0
Eicosanoid_ligand-binding_receptors	0	0	0	0	0	0	0	0	0	0
Ketone_body_metabolism	0	0	0	0	0	0	0	0	0	0
Type_I_hemidesmosome_assembly	0	3	0	0	3	0	0	0	0	0
RUNX3_Regulates_Immune_Response_and_Cell_Migration	0	3	0	0	3	0	0	0	0	0
TLR3-mediated_TICAM1-dependent_programmed_cell_death	0	3	0	1	4	0	1	0	0	1
Recognition_and_association_of_DNA_glycosylase_with_site_containing_an_affected_pyrimidine	0	0	0	0	0	0	0	0	0	0
Defective_SLC34A3_causes_Hereditary_hypophosphatemic_rickets_with_hypercalciuria_(HHRH)	0	0	0	0	0	0	0	0	0	0
Signaling_by_EGFR	0	3	0	2	5	0	1	0	0	1
Ovarian_tumor_domain_proteases	0	4	0	4	8	0	0	0	0	0
Defective_SLC35A2_causes_congenital_disorder_of_glycosylation_2M_(CDG2M)	0	0	0	0	0	0	0	0	0	0
NOTCH4_Intracellular_Domain_Regulates_Transcription	0	2	0	1	3	0	0	0	0	0
Recognition_of_DNA_damage_by_PCNA-containing_replication_complex	0	7	0	3	10	0	0	0	0	0
Regulation_of_thyroid_hormone_activity	0	0	0	1	1	0	0	0	0	0
Nitric_oxide_stimulates_guanylate_cyclase	0	2	0	2	4	0	0	0	0	0
Hh_mutants_that_don't_undergo_autocatalytic_processing_are_degraded_by_ERAD	0	2	0	3	5	0	0	0	0	0
Fertilization	0	0	0	0	0	0	0	0	0	0
Chemokine_receptors_bind_chemokines	0	12	0	0	12	0	0	0	0	0
MET_promotes_cell_motility	0	0	0	0	0	0	0	0	0	0
Inwardly_rectifying_K+_channels	0	0	0	0	0	0	0	0	0	0
Diseases_associated_with_the_TLR_signaling_cascade	0	0	0	0	0	0	0	0	0	0
Signaling_by_Leptin	1	9	0	7	17	0	0	0	0	0
Transcriptional_activation_of_cell_cycle_inhibitor_p21	0	3	0	0	3	0	1	0	0	1
Common_Pathway_of_Fibrin_Clot_Formation	0	8	0	10	18	1	1	0	0	2
Formation_of_apoptosome	0	1	0	3	4	0	0	0	0	0
Synthesis_of_GDP-mannose	0	0	0	2	2	1	0	0	0	1
phosphorylation_site_mutants_of_CTNNB1_are_not_targeted_to_the_proteasome_by_the_destruction_complex	0	0	0	0	0	0	0	0	0	0
Elastic_fibre_formation	0	2	0	1	3	0	0	0	0	0
TRAF6_mediated_IRF7_activation_in_TLR7-8_or_9_signaling	2	4	0	2	8	0	1	0	0	1
Abacavir_transport_and_metabolism	0	0	0	0	0	0	0	0	0	0
mTOR_signalling	0	5	0	6	11	0	0	0	0	0
Urea_cycle	0	0	0	2	2	1	0	0	0	1
Defective_CYP26C1_causes_Focal_facial_dermal_dysplasia_4_(FFDD4)	0	0	0	0	0	0	0	0	0	0
RNA_polymerase_II_transcribes_snRNA_genes	0	6	0	4	10	1	0	0	0	1
Gamma_carboxylation,_hypusine_formation_and_arylsulfatase_activation	0	0	0	0	0	1	0	0	0	1
DNA_strand_elongation	0	0	0	0	0	0	0	0	0	0
Non-integrin_membrane-ECM_interactions	0	3	0	0	3	0	0	0	0	0
Hedgehog_ligand_biogenesis	0	3	0	4	7	0	0	0	0	0
Signaling_by_NOTCH	0	0	0	0	0	0	0	0	0	0
Oxygen-dependent_proline_hydroxylation_of_Hypoxia-inducible_Factor_Alpha	0	2	0	10	12	0	0	0	0	0
Presynaptic_nicotinic_acetylcholine_receptors	0	0	0	0	0	0	0	0	0	0
Regulated_proteolysis_of_p75NTR	1	1	0	1	3	1	0	0	0	1
Pentose_phosphate_pathway	0	1	0	6	7	1	0	0	0	1
Proton-coupled_neutral_amino_acid_transporters	0	0	0	0	0	0	0	0	0	0
ALKBH3_mediated_reversal_of_alkylation_damage	0	3	0	3	6	1	0	0	0	1
Androgen_biosynthesis	0	0	0	5	5	1	0	0	0	1
NEP-NS2_Interacts_with_the_Cellular_Export_Machinery	0	1	0	0	1	0	0	0	0	0
WNT_mediated_activation_of_DVL	0	0	0	2	2	0	0	0	0	0
Activation_of_PKB	0	1	0	2	3	0	0	0	0	0
M_Phase	0	0	0	0	0	0	0	0	0	0
Meiotic_recombination	0	3	0	3	6	0	0	0	0	0
Dual_Incision_in_GG-NER	0	2	0	3	5	0	0	0	0	0
Transcription_of_E2F_targets_under_negative_control_by_p107_(RBL1)_and_p130_(RBL2)_in_complex_with_HDAC1	0	8	0	0	8	0	0	0	0	0
Defective_ABCC6_causes_pseudoxanthoma_elasticum_(PXE)	0	0	0	0	0	0	0	0	0	0
Signal_attenuation	0	4	0	4	8	0	2	0	0	2
Vpr-mediated_nuclear_import_of_PICs	0	3	0	0	3	0	0	0	0	0
Tie2_Signaling	0	7	0	2	9	0	2	0	0	2
Recruitment_of_NuMA_to_mitotic_centrosomes	0	2	0	1	3	0	0	0	0	0
Synthesis_of_5-eicosatetraenoic_acids	0	0	0	3	3	1	0	0	0	1
Estrogen-dependent_gene_expression	0	27	0	4	31	0	4	0	0	4
APC-C:Cdc20_mediated_degradation_of_mitotic_proteins	0	2	0	1	3	0	0	0	0	0
MET_activates_PTK2_signaling	0	0	0	4	4	0	0	0	0	0
Protein_repair	0	0	0	1	1	1	0	0	0	1
Creation_of_C4_and_C2_activators	0	0	0	0	0	0	0	0	0	0
EPH-ephrin_mediated_repulsion_of_cells	0	3	0	6	9	0	2	0	0	2
COPI-independent_Golgi-to-ER_retrograde_traffic	0	4	0	1	5	0	1	0	0	1
Biosynthesis_of_D-series_resolvins	0	0	0	0	0	2	0	0	0	2
RHO_GTPases_activate_PKNs	0	3	0	7	10	0	1	0	0	1
Cilium_Assembly	0	0	0	0	0	0	0	0	0	0
Toll_Like_Receptor_2_(TLR2)_Cascade	0	0	0	0	0	0	0	0	0	0
Depolymerisation_of_the_Nuclear_Lamina	0	1	0	8	9	0	1	0	0	1
Glyoxylate_metabolism_and_glycine_degradation	0	0	0	0	0	5	0	0	0	5
Cell_redox_homeostasis	0	0	0	2	2	0	0	0	0	0
Beta_oxidation_of_octanoyl-CoA_to_hexanoyl-CoA	0	0	0	4	4	2	1	0	0	3
Adherens_junctions_interactions	0	5	0	1	6	1	0	0	0	1
Degradation_of_GABA	0	0	0	0	0	0	0	0	0	0
TGFBR1_LBD_Mutants_in_Cancer	0	0	0	0	0	0	0	0	0	0
Defective_Mismatch_Repair_Associated_With_MSH6	0	0	0	0	0	0	0	0	0	0
MAP2K_and_MAPK_activation	0	4	0	3	7	0	0	0	0	0
Defective_Mismatch_Repair_Associated_With_MSH3	0	0	0	0	0	0	0	0	0	0
Developmental_Biology	0	0	0	0	0	0	0	0	0	0
Amine_ligand-binding_receptors	0	2	0	0	2	0	0	0	0	0
Defective_Mismatch_Repair_Associated_With_MSH2	0	0	0	0	0	0	0	0	0	0
Defects_in_cobalamin_(B12)_metabolism	0	0	0	0	0	0	0	0	0	0
SMAC-mediated_apoptotic_response	0	0	0	0	0	0	0	0	0	0
Repression_of_WNT_target_genes	0	5	0	0	5	0	0	0	0	0
Activation_of_AMPA_receptors	0	2	0	4	6	0	0	0	0	0
Signaling_by_moderate_kinase_activity_BRAF_mutants	0	3	0	3	6	0	0	0	0	0
Defective_SLC7A9_causes_cystinuria_(CSNU)	0	0	0	0	0	0	0	0	0	0
Nef_and_signal_transduction	0	0	0	0	0	0	0	0	0	0
Diseases_of_glycosylation	0	0	0	0	0	0	0	0	0	0
SOS-mediated_signalling	0	1	0	2	3	0	2	0	0	2
Visual_phototransduction	0	0	0	0	0	0	0	0	0	0
p75NTR_recruits_signalling_complexes	0	3	0	1	4	0	0	0	0	0
Synthesis_of_UDP-N-acetyl-glucosamine	0	0	0	1	1	1	0	0	0	1
DNA_methylation	0	3	0	3	6	1	0	0	0	1
Autodegradation_of_the_E3_ubiquitin_ligase_COP1	0	0	0	2	2	0	0	0	0	0
Downregulation_of_ERBB4_signaling	0	1	0	2	3	0	0	0	0	0
Protein_methylation	0	0	0	0	0	1	0	0	0	1
Agmatine_biosynthesis	0	0	0	0	0	1	0	0	0	1
Signaling_by_FGFR3_in_disease	0	0	0	0	0	0	0	0	0	0
Microtubule-dependent_trafficking_of_connexons_from_Golgi_to_the_plasma_membrane	0	0	0	0	0	2	0	0	0	2
IKK_complex_recruitment_mediated_by_RIP1	0	4	0	1	5	0	1	0	0	1
Nonsense_Mediated_Decay_(NMD)_independent_of_the_Exon_Junction_Complex_(EJC)	0	1	0	0	1	0	0	0	0	0
Respiratory_electron_transport	0	0	0	12	12	8	2	0	0	10
eNOS_activation_and_regulation	0	0	0	0	0	0	0	0	0	0
DAG_and_IP3_signaling	1	10	0	17	28	1	1	0	0	2
Defective_CYP26B1_causes_Radiohumeral_fusions_with_other_skeletal_and_craniofacial_anomalies_(RHFCA)	0	0	0	0	0	0	0	0	0	0
Zinc_efflux_and_compartmentalization_by_the_SLC30_family	0	0	0	2	2	0	0	0	0	0
Formation_of_tubulin_folding_intermediates_by_CCT-TriC	0	5	0	0	5	0	2	0	0	2
Signaling_by_NTRK1_(TRKA)	0	0	0	0	0	0	0	0	0	0
Defects_in_vitamin_and_cofactor_metabolism	0	0	0	0	0	0	0	0	0	0
Collagen_biosynthesis_and_modifying_enzymes	0	16	0	6	22	0	1	0	0	1
Defective_CYP27A1_causes_Cerebrotendinous_xanthomatosis_(CTX)	0	0	0	0	0	0	0	0	0	0
TNFR1-induced_NFkappaB_signaling_pathway	0	5	0	2	7	0	0	0	0	0
Defective_SLC29A3_causes_histiocytosis-lymphadenopathy_plus_syndrome_(HLAS)	0	0	0	0	0	0	0	0	0	0
PI5P_Regulates_TP53_Acetylation	2	1	0	2	5	0	0	0	0	0
Collagen_formation	0	0	0	0	0	0	0	0	0	0
Muscle_contraction	0	0	0	0	0	0	0	0	0	0
Fusion_of_the_Influenza_Virion_to_the_Host_Cell_Endosome	0	1	0	1	2	0	0	0	0	0
Signal_transduction_by_L1	0	1	0	3	4	0	1	0	0	1
Regulation_of_RUNX3_expression_and_activity	1	6	0	4	11	0	1	0	0	1
PI_Metabolism	0	0	0	1	1	0	0	0	0	0
p75NTR_regulates_axonogenesis	0	0	0	0	0	0	0	0	0	0
Defective_POMT2_causes_MDDGA2,_MDDGB2_and_MDDGC2	0	0	0	0	0	0	0	0	0	0
Amine-derived_hormones	0	0	0	0	0	0	0	0	0	0
Signaling_by_NTRKs	0	0	0	0	0	0	0	0	0	0
Generation_of_second_messenger_molecules	0	6	0	4	10	1	0	0	0	1
Elevation_of_cytosolic_Ca2+_levels	0	7	0	5	12	1	0	0	0	1
p75NTR_negatively_regulates_cell_cycle_via_SC1	1	2	0	0	3	0	0	0	0	0
Autodegradation_of_Cdh1_by_Cdh1:APC-C	0	0	0	3	3	0	0	0	0	0
Defective_AVP_does_not_bind_AVPR2_and_causes_neurohypophyseal_diabetes_insipidus_(NDI)	0	0	0	0	0	0	0	0	0	0
Defective_CHST3_causes_SEDCJD	0	0	0	0	0	0	0	0	0	0
Catecholamine_biosynthesis	0	0	0	0	0	1	0	0	0	1
Formation_of_annular_gap_junctions	0	2	0	1	3	0	0	0	0	0
Ligand-independent_caspase_activation_via_DCC	1	1	0	3	5	0	3	0	0	3
MET_Receptor_Activation	0	5	0	2	7	0	0	0	0	0
Formation_of_Senescence-Associated_Heterochromatin_Foci_(SAHF)	0	1	0	0	1	0	0	0	0	0
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	0	3	0	8	11	1	0	0	0	1
Viral_RNP_Complexes_in_the_Host_Cell_Nucleus	0	0	0	0	0	0	0	0	0	0
Defective_ABCB11_causes_progressive_familial_intrahepatic_cholestasis_2_and_benign_recurrent_intrahepatic_cholestasis_2	0	0	0	0	0	0	0	0	0	0
Hereditary_fructose_intolerance	0	0	0	0	0	0	0	0	0	0
RHO_GTPases_activate_CIT	0	3	0	3	6	0	1	0	0	1
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	1	3	0	5	9	0	0	0	0	0
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	0	0	0	5	5	1	2	0	0	3
Non-coding_RNA_Metabolism	0	0	0	0	0	0	0	0	0	0
Porphyrin_metabolism	0	0	0	0	0	0	0	0	0	0
p53-Independent_G1-S_DNA_damage_checkpoint	0	0	0	0	0	0	0	0	0	0
CREB_phosphorylation_through_the_activation_of_CaMKK	0	0	0	2	2	0	0	0	0	0
Loss_of_MECP2_binding_ability_to_5hmC-DNA	0	0	0	0	0	0	0	0	0	0
HuR_(ELAVL1)_binds_and_stabilizes_mRNA	0	0	0	0	0	0	0	0	0	0
Defective_SLC5A2_causes_renal_glucosuria_(GLYS1)	0	0	0	0	0	0	0	0	0	0
FMO_oxidises_nucleophiles	0	0	0	0	0	0	0	0	0	0
Defective_ALG11_causes_ALG11-CDG_(CDG-1p)	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid_metabolism	0	2	0	8	10	1	0	0	0	1
Death_Receptor_Signalling	0	0	0	0	0	0	0	0	0	0
Signaling_by_SCF-KIT	0	9	0	10	19	0	3	0	0	3
VLDL_clearance	0	1	0	0	1	0	0	0	0	0
Eukaryotic_Translation_Initiation	0	0	0	0	0	0	0	0	0	0
Diseases_associated_with_surfactant_metabolism	0	0	0	0	0	0	0	0	0	0
Biosynthesis_of_DPAn-3-derived_13-series_resolvins	0	0	0	0	0	2	0	0	0	2
Defective_AVP_does_not_bind_AVPR1A,B_and_causes_neurohypophyseal_diabetes_insipidus_(NDI)	0	0	0	0	0	0	0	0	0	0
Initiation_of_Nuclear_Envelope_Reformation	0	2	0	1	3	0	0	0	0	0
Transcriptional_regulation_by_RUNX3	0	0	0	0	0	0	0	0	0	0
Transcriptional_regulation_by_RUNX2	0	8	0	5	13	0	2	0	0	2
Amyloid_fiber_formation	1	9	0	7	17	1	0	0	0	1
Processive_synthesis_on_the_lagging_strand	0	2	0	1	3	0	0	0	0	0
Defective_DPAGT1_causes_DPAGT1-CDG_(CDG-1j)_and_CMSTA2	0	0	0	0	0	0	0	0	0	0
Interleukin-10_signaling	1	5	0	3	9	0	1	0	0	1
SLIT2:ROBO1_increases_RHOA_activity	0	1	0	0	1	0	0	0	0	0
Mtb_iron_assimilation_by_chelation	0	1	0	2	3	0	0	0	0	0
Separation_of_Sister_Chromatids	0	3	0	3	6	0	0	0	0	0
Reverse_Transcription_of_HIV_RNA	0	0	0	0	0	0	0	0	0	0
Zinc_influx_into_cells_by_the_SLC39_gene_family	0	0	0	3	3	0	0	0	0	0
Thrombin_signalling_through_proteinase_activated_receptors_(PARs)	0	9	0	5	14	0	2	0	0	2
Budding_and_maturation_of_HIV_virion	0	2	0	0	2	0	0	0	0	0
Transcriptional_regulation_by_RUNX1	0	0	0	0	0	0	0	0	0	0
RUNX1_and_FOXP3_control_the_development_of_regulatory_T_lymphocytes_(Tregs)	0	13	0	0	13	0	0	0	0	0
Mineralocorticoid_biosynthesis	0	0	0	2	2	1	0	0	0	1
RA_biosynthesis_pathway	0	1	0	6	7	0	0	0	0	0
Defective_SLC4A1_causes_hereditary_spherocytosis_type_4_(HSP4),_distal_renal_tubular_acidosis_(dRTA)_and_dRTA_with_hemolytic_anemia_(dRTA-HA)	0	0	0	0	0	0	0	0	0	0
Fructose_catabolism	0	0	0	1	1	1	0	0	0	1
CaMK_IV-mediated_phosphorylation_of_CREB	0	0	0	6	6	0	0	0	0	0
Downregulation_of_ERBB2:ERBB3_signaling	0	1	0	5	6	0	0	0	0	0
Glycerophospholipid_catabolism	0	0	0	0	0	1	0	0	0	1
HS-GAG_degradation	0	1	0	1	2	2	0	0	0	2
Defective_CFTR_causes_cystic_fibrosis	0	2	0	2	4	0	0	0	0	0
Trafficking_of_myristoylated_proteins_to_the_cilium	0	1	0	1	2	0	0	0	0	0
Telomere_C-strand_(Lagging_Strand)_Synthesis	0	2	0	0	2	0	0	0	0	0
Condensation_of_Prometaphase_Chromosomes	0	0	0	2	2	0	1	0	0	1
Defective_RHAG_causes_regulator_type_Rh-null_hemolytic_anemia_(RHN)	0	0	0	0	0	0	0	0	0	0
Signaling_by_FGFR2_amplification_mutants	0	2	0	1	3	0	1	0	0	1
Synthesis_of_Dolichyl-phosphate	0	0	0	2	2	1	0	0	0	1
Presynaptic_depolarization_and_calcium_channel_opening	0	0	0	1	1	0	2	0	0	2
S33_mutants_of_beta-catenin_aren't_phosphorylated	0	0	0	0	0	0	0	0	0	0
Gluconeogenesis	0	0	0	9	9	2	0	0	0	2
Defective_ABCA1_causes_Tangier_disease	0	0	0	0	0	0	0	0	0	0
O2-CO2_exchange_in_erythrocytes	0	0	0	0	0	0	0	0	0	0
TFAP2_(AP-2)_family_regulates_transcription_of_other_transcription_factors	0	2	0	0	2	0	0	0	0	0
Abacavir_transmembrane_transport	0	0	0	1	1	0	0	0	0	0
Defective_ABCA3_causes_pulmonary_surfactant_metabolism_dysfunction_type_3_(SMDP3)	0	0	0	0	0	0	0	0	0	0
Biosynthesis_of_A2E,_implicated_in_retinal_degradation	0	0	0	0	0	1	0	0	0	1
Synthesis_of_bile_acids_and_bile_salts	0	0	0	2	2	1	0	0	0	1
CDK-mediated_phosphorylation_and_removal_of_Cdc6	0	0	0	3	3	0	0	0	0	0
ADP_signalling_through_P2Y_purinoceptor_1	0	7	0	3	10	0	1	0	0	1
MyD88_deficiency_(TLR2-4)	0	0	0	0	0	0	0	0	0	0
Rap1_signalling	0	4	0	4	8	0	3	0	0	3
G_alpha_(q)_signalling_events	0	31	0	5	36	0	1	0	0	1
Adrenoceptors	0	7	0	0	7	0	0	0	0	0
Transfer_of_LPS_from_LBP_carrier_to_CD14	0	2	0	0	2	0	0	0	0	0
RUNX3_regulates_p14-ARF	0	1	0	2	3	0	0	0	0	0
Constitutive_Signaling_by_NOTCH1_HD_Domain_Mutants	0	0	0	2	2	0	0	0	0	0
Gap-filling_DNA_repair_synthesis_and_ligation_in_TC-NER	0	0	0	2	2	0	0	0	0	0
Membrane_binding_and_targetting_of_GAG_proteins	0	1	0	2	3	0	0	0	0	0
Regulation_by_c-FLIP	0	3	0	0	3	0	0	0	0	0
Synthesis_of_very_long-chain_fatty_acyl-CoAs	0	0	0	9	9	1	0	0	0	1
Gene_expression_(Transcription)	0	0	0	0	0	0	0	0	0	0
MicroRNA_(miRNA)_biogenesis	0	2	0	4	6	1	1	0	0	2
Defective_B3GALT6_causes_EDSP2_and_SEMDJL1	0	0	0	0	0	0	0	0	0	0
Reversible_hydration_of_carbon_dioxide	0	0	0	9	9	0	1	0	0	1
DNA_Replication	0	0	0	0	0	0	0	0	0	0
NOSIP_mediated_eNOS_trafficking	0	0	0	0	0	0	0	0	0	0
WNT5A-dependent_internalization_of_FZD4	0	2	0	1	3	0	0	0	0	0
Signaling_by_FGFR2_in_disease	0	4	0	4	8	0	1	0	0	1
