Reactome node type	Reactome Label	Reactome Id	Curator asserted GO types	Rule-assigned types	Inferred GO types
Biological Process	reaction:Inactivation of Wee1 kinase: is xrefed to this process	R-HSA-156699 	GO_0051726: regulation of cell cycle,		
Molecular Function	Formation of Cyclin B:Cdc2 complexes	R-HSA-170057 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	CDK1 phosphorylates RUNX2	R-HSA-9009282 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Phosphorylation of proteins involved in G2/M transition by active Cyclin A2:Cdc2 complexes	R-HSA-69756 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	CAK-mediated phosphorylation of Cyclin B1:Cdc2 complexes	R-HSA-170076 	GO_0016301: kinase activity,		
Molecular Function	Translocation of Cyclin B1:phospho-Cdc2 complexes to the nucleus	R-HSA-170044 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Translocation of Cyclin B1:phospho-Cdc2 to the cytoplasm	R-HSA-170072 		GO_0005515: protein binding,	
Molecular Function	Phosphorylation of Cyclin B1 in the CRS domain	R-HSA-170126 	GO_0016301: kinase activity,		
Molecular Function	Dephosphorylation of cytoplasmic Cyclin B1/B2:phospho-Cdc2 (Thr 14, Tyr 15) complexes by CDC25B	R-HSA-170161 	GO_0004721: phosphoprotein phosphatase activity,		
Molecular Function	CDK1 phosphorylates LPIN	R-HSA-5195402 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	CCNB1:p-T160-CDK1 phosphorylates NUMA1	R-HSA-380278 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Inactivation of Wee1 kinase	R-HSA-156699 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	Association of Cyclin B:Cdc2 with Cdc20:APC/C complex	R-HSA-174120 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Translocation of CRS phosphorylated Cyclin B1:Cdc2 complexes	R-HSA-170131 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	CDK1 phosphorylates MASTL	R-HSA-2430533 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	CDK1 phosphorylates PHF8	R-HSA-2245218 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	CDK1 phosphorylates condensin II subunit NCAPD3	R-HSA-2294600 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Activation of Cdc25C	R-HSA-156678 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	CDK1:CCNB phosphorylates NEK9	R-HSA-2984220 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Myt-1 mediated phosphorylation of Cyclin A:Cdc2	R-HSA-170116 	GO_0016301: kinase activity,		
Molecular Function	PLK1 binds FOXM1	R-HSA-4088130 		GO_0005515: protein binding,	
Molecular Function	Phosphorylation of the Emi1 DSGxxS degron by Cyclin B:Cdc2	R-HSA-174122 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Formation of Cyclin A:Cdc2 complexes	R-HSA-170084 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Phosphorylation of GORASP1, GOLGA2 and RAB1A by CDK1:CCNB	R-HSA-2172183 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Inactivation of Myt1 kinase	R-HSA-162657 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	CAK-mediated phosphorylation of Cyclin A:Cdc2 complexes	R-HSA-170087 	GO_0016301: kinase activity,		
Molecular Function	Translocation of Cyclin A:phospho-Cdc2 (Thr 14) to the nucleus	R-HSA-170088 		GO_0005515: protein binding,	
Molecular Function	Dephosphorylation of nuclear Cyclin A:phospho-Cdc2 complexes	R-HSA-170158 	GO_0004721: phosphoprotein phosphatase activity,		
Molecular Function	Dephosphorylation of nuclear Cyclin B1:phospho-Cdc2 (Thr 14, Tyr15) complexes by Cdc25 phosphatases	R-HSA-170153 	GO_0004721: phosphoprotein phosphatase activity,		GO_0098772: molecular function regulator,
Molecular Function	Phosphorylation of Cdh1 by Cyclin B1:Cdc2	R-HSA-174251 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Wee1-mediated phosphorylation of Cyclin A:phospho-Cdc2 complexes	R-HSA-170156 	GO_0016301: kinase activity,		
Molecular Function	Translocation of Cdc25 to the nucleus	R-HSA-170159 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	PP2A-PPP2R2A dephosphorylates FOXM1	R-HSA-4088141 	GO_0004722: protein serine/threonine phosphatase activity,		
Molecular Function	Free APC/C phosphorylated by Cyclin B:Cdc2	R-HSA-174132 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	Phosphorylation of Wee1 kinase by Chk1	R-HSA-75028 	GO_0016301: kinase activity,		
Molecular Function	CCNA:CDK1/2 complexes and CCNB1:CDK1 complexes phosphorylate FOXM1	R-HSA-4088024 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Molecular Function	PP2A demethylation by PPME1	R-HSA-8856951 	GO_0051722: protein C-terminal methylesterase activity,		
Molecular Function	Wee1-mediated phosphorylation of Cyclin B1:phospho-Cdc2 complexes	R-HSA-170070 	GO_0016301: kinase activity,		
Molecular Function	PP2A methylation by LCMT1	R-HSA-8856945 	GO_0018423: protein C-terminal leucine carboxyl O-methyltransferase activity,		
Molecular Function	Myt-1 mediated phosphorylation of Cyclin B:Cdc2 complexes	R-HSA-170055 	GO_0016301: kinase activity,		
Molecular Function	CDK1 phosphorylates NUP98	R-HSA-2990882 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		
Complex	CCNB1:p-T161-CDK1	R-HSA-170160 			GO_0000307: cyclin-dependent protein kinase holoenzyme complex,
Complex	LPIN	R-HSA-4419925 			
Complex	CCNA:CDK1	R-HSA-170091 			
Complex	CCNA:p-T14,T161-CDK1	R-HSA-170092 			
Complex	CCNB1,CCNB2:p-T161-CDK1	R-HSA-2311324 			GO_0000307: cyclin-dependent protein kinase holoenzyme complex,
Complex	phospho-cyclin B1(CRS):phosph-Cdc2(Thr 161)	R-HSA-170047 			
Complex	CCNB1:p-T14,T161-CDK1	R-HSA-170073 			
Complex	MeL-PP2A	R-HSA-8857787 			
Complex	CAK	R-HSA-69221 			GO_0061695: transferase complex, transferring phosphorus-containing groups,
Complex	CCNB1:p-T14,Y15,T161-CDK1	R-HSA-170065 			
Complex	phospho-Cyclin B1(CRS):phospho-Cdc2 (Thr 161)	R-HSA-170127 			
Complex	CCNA:p-T14,Y15,T161-CDK1	R-HSA-170147 			
Complex	CCNB:CDK1	R-HSA-170077 			
Complex	CCNB	R-HSA-157461 			
Complex	p-2S-PHF8:Fe2+	R-HSA-2245227 			
Complex	RUNX2:CBFB	R-HSA-8865420 			
Complex	PHF8:Nucleosome with H3K4me2/3:H4K20me1	R-HSA-2172686 			
Complex	CDC25	R-HSA-69261 			GO_1903293: phosphatase complex,
Complex	CCNB1:p-T14-CDK1	R-HSA-170056 			
Complex	CCNB:p-T14-CDK1	R-HSA-170069 			
Complex	PP2A	R-HSA-1363265 			
Complex	p-S106-LPIN	R-HSA-4419938 			
Complex	Emi1:Cdc20/Cdh1 complex	R-HSA-188679 			
Complex	CCNB1,CCNB2:p-T14,Y15,T161-CDK1	R-HSA-8981821 			
Complex	GRASP65:GM130:p115:RAB1:GTP	R-HSA-2172177 			
Complex	PP2A-PPP2R2A	R-HSA-4088142 			GO_0008287: protein serine/threonine phosphatase complex,
Complex	p-S451-RUNX2:CBFB	R-HSA-9008410 			
Complex	CCNA	R-HSA-170089 			
Complex	CCNB1:p-T161-CDK1	R-HSA-157456 			
Complex	Nucleosome with H3K4me2/3:H4K20me1	R-HSA-2245190 			
Complex	phosphorylated anaphase promoting complex (APC/C)	R-HSA-174109 			
Complex	p-T611-FOXM1:p-T210-PLK1	R-HSA-4088136 			
Complex	Phospho-Cyclin B1 (CRS):phospho-Cdc2(Thr 161)	R-HSA-170121 			
Complex	Cdc20:phospho-APC/C:Cyclin B:Cdc2 complex	R-HSA-174095 			
Complex	Nuclear Pore Complex (NPC)	R-HSA-157689 			
Complex	Phospho-Emi1(Ser 182):Cdc20/Cdh1 complexes	R-HSA-186975 			
Complex	CCNA2:p-T161-CDK1	R-HSA-68906 			GO_0000307: cyclin-dependent protein kinase holoenzyme complex,
Complex	CDC20:p-APC/C	R-HSA-174081 			
Complex	CCNA:p-T14-CDK1	R-HSA-170085 			
Complex	Nuclear Pore Complex (p-2S,3T-NUP98)	R-HSA-2990903 			
Complex	Condensin II:Nucleosome with H4K20me1	R-HSA-2288093 			
Complex	CDC25	R-HSA-170108 			
Complex	CCNA:p-T161-CDK1	R-HSA-170146 			
Complex	Phosphorylated Condensin II:Nucleosome	R-HSA-2294607 			
Complex	anaphase promoting complex (APC/C)	R-HSA-174091 			
Complex	nuclear Cyclin B1:Cdc2 complexes	R-HSA-170051 			
Complex	CCNB1:p-T14,Y15,T161-CDK1	R-HSA-170068 			
Complex	CCNA:p-T14-CDK1	R-HSA-170090 			
Complex	p-T216,S274,S373-GRASP65:p-S37-GM130:p-RAB1:GTP	R-HSA-2172185 			
Complex	cytoplasmic Cyclin B1:Cdc2 complexes	R-HSA-170079 			
Biological Process	Transport of connexins to the Trans-Golgi Network (TGN)	R-HSA-190686 			GO_0090150: establishment of protein localization to membrane,GO_1903292: protein localization to Golgi membrane,GO_0051668: localization within membrane,
Biological Process	Transport of connexins along the secretory pathway	R-HSA-190827 			
Molecular Function	Transport of connexins to the ER-Golgi intermediate compartment	R-HSA-190698 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Synthesis of GJB1 (Cx32)	R-HSA-190693 			
Molecular Function	Connexin oligomerization in ER-Golgi-Intermediate Compartment	R-HSA-190687 		GO_0005515: protein binding,	
Molecular Function	Connexin oligomerization in Trans-Golgi Network (TGN)	R-HSA-190662 			
Complex	Connexin 26:Connexin 32 connexon	R-HSA-190632 			
Complex	Cx26/Cx32	R-HSA-191076 			
Complex	Cx26/Cx32	R-HSA-191080 			
Biological Process	Formation of the Early Elongation Complex	R-HSA-113418 	GO_0006368: transcription elongation from RNA polymerase II promoter,		
Molecular Function	Formation of NELF complex	R-HSA-112437 		GO_0005515: protein binding,	
Molecular Function	Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex	R-HSA-112381 	GO_0016301: kinase activity,		
Molecular Function	Formation of DSIF:NELF:early elongation complex	R-HSA-113402 		GO_0005515: protein binding,	
Molecular Function	DSIF complex binds to RNA Pol II (hypophosphorylated)	R-HSA-113407 		GO_0005515: protein binding,	
Molecular Function	Formation of DSIF complex	R-HSA-112434 		GO_0005515: protein binding,	
Molecular Function	Hypophosphorylation of RNA Pol II CTD by FCP1P protein	R-HSA-112383 	GO_0004721: phosphoprotein phosphatase activity,		
Molecular Function	Recognition and binding of the mRNA cap by the cap-binding complex	R-HSA-77095 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Abortive termination of early transcription elongation by DSIF:NELF	R-HSA-113409 		GO_0005515: protein binding,	
Complex	RNA Pol II (hypophosphorylated) complex bound to DSIF protein	R-HSA-113406 			
Complex	DSIF complex	R-HSA-112420 			
Complex	RNA Polymerase II (phosphorylated):TFIIF:capped pre-mRNA	R-HSA-113405 			
Complex	TFIIH	R-HSA-109634 			
Complex	Aborted early elongation complex	R-HSA-113410 			
Complex	Cap Binding Complex (CBC)	R-HSA-77088 			
Complex	P-TEFb complex	R-HSA-112431 			GO_0061695: transferase complex, transferring phosphorus-containing groups,
Complex	Early elongation complex with hyperphosphorylated Pol II CTD	R-HSA-113426 			
Complex	NELF complex	R-HSA-112432 			
Complex	RNA Pol II (hypophosphorylated):capped pre-mRNA complex	R-HSA-113715 			
Complex	DSIF:NELF:early elongation complex	R-HSA-113408 			
Complex	capped pre-mRNA:CBC:RNA Pol II (phosphorylated) complex	R-HSA-77089 			
Biological Process	Formation of RNA Pol II elongation complex	R-HSA-112382 	GO_0006368: transcription elongation from RNA polymerase II promoter,		GO_0046031: ADP metabolic process,GO_0046034: ATP metabolic process,
Molecular Function	Formation of Elongin complex	R-HSA-112436 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Formation of P-TEFb complex	R-HSA-112430 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Recruitment of elongation factors to form elongation complex	R-HSA-112379 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Addition of nucleotides leads to transcript elongation	R-HSA-112385 		GO_0005515: protein binding,	
Molecular Function	Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex	R-HSA-112381 	GO_0016301: kinase activity,		
Molecular Function	Formation of FACT complex	R-HSA-112429 		GO_0005515: protein binding,	
Molecular Function	Formation of DSIF:NELF:early elongation complex	R-HSA-113402 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	Elongin B:C complex	R-HSA-112424 			
Complex	RNA Pol II (hypophosphorylated) complex bound to DSIF protein	R-HSA-113406 			
Complex	Elongin Complex	R-HSA-112425 			
Complex	TFIIH	R-HSA-109634 			
Complex	Elongation complex	R-HSA-112433 			
Complex	Early elongation complex with hyperphosphorylated Pol II CTD	R-HSA-113426 			
Complex	Cap Binding Complex (CBC)	R-HSA-77088 			
Complex	P-TEFb complex	R-HSA-112431 			GO_0061695: transferase complex, transferring phosphorus-containing groups,
Complex	NELF complex	R-HSA-112432 			
Complex	FACT complex	R-HSA-112417 			
Complex	CCNT1,CCNT2,CCNK	R-HSA-6807466 			
Complex	DSIF:NELF:early elongation complex	R-HSA-113408 			
Complex	PAF1C	R-HSA-8866690 			
Complex	Elongin A	R-HSA-8867795 			
Complex	Processive elongation complex	R-HSA-113719 			
Biological Process	Translesion synthesis by POLI	R-HSA-5656121 	GO_0042276: error-prone translesion synthesis,		GO_0009200: deoxyribonucleoside triphosphate metabolic process,
Molecular Function	POLI incorporates dNMP opposite to damaged DNA base	R-HSA-5656148 	GO_0003887: DNA-directed DNA polymerase activity,		
Molecular Function	POLI simultaneously binds REV1 and monoUb:K164-PCNA at damaged DNA	R-HSA-5656105 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	POLZ elongates POLI-incorporated dNMP	R-HSA-5656158 	GO_0003887: DNA-directed DNA polymerase activity,		
Molecular Function	RAD18:UBE2B or RBX1:CUL4:DDB1:DTL monoubiquitinates PCNA	R-HSA-5652009 	GO_0004842: ubiquitin-protein transferase activity,		
Molecular Function	TRIM25 binds monoUb:164-PCNA	R-HSA-5653756 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	UBE2L6:TRIM25:DNA polymerase Y:MonoUb:K164-PCNA:RPA:RFC:TLS-DNA Template	R-HSA-5653760 			
Complex	RAD18:UBE2B,RBX1:CUL4:DDB1:DTL:PCNA:POLD,POLE:RPA:RFC:Damaged DNA Template	R-HSA-5651985 			GO_1990234: transferase complex,
Complex	POLZ	R-HSA-110279 			
Complex	MonoUb:K164-PCNA:RPA:RFC:EtAD-DNA Template,Gamma-HOPdG-DNA Template	R-HSA-5656114 			
Complex	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(EtAD:T)-DNA Template,(Gamma-HOPdG:C)-DNA Template	R-HSA-5656146 			GO_1990391: DNA repair complex,GO_0042575: DNA polymerase complex,
Complex	POLD,POLE	R-HSA-5651800 			
Complex	POLI:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:EtAD-DNA Template,Gamma-HOPdG-DNA Template	R-HSA-5656097 			GO_1990391: DNA repair complex,GO_0042575: DNA polymerase complex,
Complex	POLI:MonoUb:K164-PCNA:RPA:RFC:(EtAD:T-mispaireddNMPs)-DNA Template,(Gamma-HOPdG:C-mispaireddNMPs)-DNA Template	R-HSA-5656156 			
Complex	UBCH8:EFP	R-HSA-5653664 			
Complex	RAD18:UBE2B,RBX1:CUL4:DDB1:DTL	R-HSA-5655459 			
Complex	Ub	R-HSA-68524 			
Complex	MonoUb:K164-PCNA:RPA:RFC:Damaged DNA Template	R-HSA-5652003 			
Complex	DNA polymerase Y:MonoUb:K164-PCNA:RPA:RFC:TLS-DNA Template	R-HSA-5653660 			
Biological Process	Ubiquinol biosynthesis	R-HSA-2142789 	GO_0006744: ubiquinone biosynthetic process,		GO_0042537: benzene-containing compound metabolic process,GO_0018904: ether metabolic process,GO_0072592: oxygen metabolic process,GO_0046490: isopentenyl diphosphate metabolic process,GO_0045338: farnesyl diphosphate metabolic process,GO_0009712: catechol-containing compound metabolic process,GO_0046500: S-adenosylmethionine metabolic process,GO_0046498: S-adenosylhomocysteine metabolic process,GO_0006739: NADP metabolic process,
Molecular Function	DMQ10H2 is hydroxylated to DeMQ10H2 by COQ7	R-HSA-2162194 	GO_0016709: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen,		
Molecular Function	DeMQ10H2 is methylated to Q10H2 by COQ3	R-HSA-2162186 	GO_0044596: 3-demethylubiquinone-10 3-O-methyltransferase activity,		
Molecular Function	DMPhOH is hydroxylated to MDMQ10H2 by DMPhOH monooxygenase	R-HSA-2162191 	GO_0004497: monooxygenase activity,		
Molecular Function	MDMQ10H2 is methylated to DMQ10H2 by COQ5	R-HSA-2162188 	GO_0043430: 2-decaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity,		
Molecular Function	FPP and IPPP are combined into all-E-10PrP2 by PDSS1/2 tetramer	R-HSA-2162253 	GO_0097269: all-trans-decaprenyl-diphosphate synthase activity,		
Molecular Function	SLC25A26 exchanges cytosolic AdoMet for mitochondrial AdoHcy	R-HSA-8855062 	GO_0000095: S-adenosyl-L-methionine transmembrane transporter activity,		
Molecular Function	DHDB is methylated to MHDB by COQ3	R-HSA-2162193 	GO_0044595: decaprenyldihydroxybenzoate methyltransferase activity,		
Molecular Function	MHDB is decarboxylated to DMPhOH by MHDB decarboxylase	R-HSA-2162195 	GO_0036169: 3-methoxy-4-hydroxy-5-decaprenylbenzoic acid decarboxylase activity,		
Molecular Function	PHB and all-E-10PrP2 are combined into DHB by COQ2	R-HSA-2162192 	GO_0002083: 4-hydroxybenzoate decaprenyltransferase activity,		
Molecular Function	DHB is hydroxylated to DHDB by COQ6	R-HSA-2162187 	GO_0016709: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen,		
Complex	PDSS1/2 tetramer	R-HSA-2162271 			GO_1990234: transferase complex,
Complex	COQ9 dimer:COQ7:Fe2+	R-HSA-8933003 			GO_1902494: catalytic complex,
Biological Process	Expression and Processing of Neurotrophins	R-HSA-9036866 			
Biological Process	Translesion synthesis by POLK	R-HSA-5655862 	GO_0042276: error-prone translesion synthesis,		GO_0009200: deoxyribonucleoside triphosphate metabolic process,
Molecular Function	POLK and POLZ cooperate in elongation of mispaired primer termini	R-HSA-5655965 	GO_0003887: DNA-directed DNA polymerase activity,		
Molecular Function	POLK incorporates dNMP opposite to damaged DNA base	R-HSA-5655892 	GO_0003887: DNA-directed DNA polymerase activity,		
Molecular Function	POLK forms a quaternary complex with REV1 and POLZ on damaged DNA template	R-HSA-5655835 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	RAD18:UBE2B or RBX1:CUL4:DDB1:DTL monoubiquitinates PCNA	R-HSA-5652009 	GO_0004842: ubiquitin-protein transferase activity,		
Molecular Function	TRIM25 binds monoUb:164-PCNA	R-HSA-5653756 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	POLK:MonoUb:K164-PCNA:RPA:RFC:(Tg:A-mispaireddNMPs)-DNA Template,(OGUA:A-mispaireddNMPs)-DNA Template,(BPDE-G:C-mispaireddNMPs)-DNA Template	R-HSA-5655961 			
Complex	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:Tg-DNA Template,OGUA-DNA Template,BPDE-G-DNA Template	R-HSA-5655852 			GO_1990391: DNA repair complex,GO_0042575: DNA polymerase complex,
Complex	UBE2L6:TRIM25:DNA polymerase Y:MonoUb:K164-PCNA:RPA:RFC:TLS-DNA Template	R-HSA-5653760 			
Complex	RAD18:UBE2B,RBX1:CUL4:DDB1:DTL:PCNA:POLD,POLE:RPA:RFC:Damaged DNA Template	R-HSA-5651985 			GO_1990234: transferase complex,
Complex	POLK:REV1:POLZ:MonoUb:K164-PCNA:RPA:RFC:(Tg:A)-DNA Template,(OGUA:A)-DNA Template,(BPDE-G:C)-DNA Template	R-HSA-5655912 			GO_1990391: DNA repair complex,GO_0042575: DNA polymerase complex,
Complex	MonoUb:K164-PCNA:RPA:RFC:Tg-DNA Template,OGUA-DNA Template,BPDE-G-DNA Template	R-HSA-5655850 			
Complex	POLZ	R-HSA-110279 			
Complex	POLD,POLE	R-HSA-5651800 			
Complex	UBCH8:EFP	R-HSA-5653664 			
Complex	RAD18:UBE2B,RBX1:CUL4:DDB1:DTL	R-HSA-5655459 			
Complex	Ub	R-HSA-68524 			
Complex	MonoUb:K164-PCNA:RPA:RFC:Damaged DNA Template	R-HSA-5652003 			
Complex	DNA polymerase Y:MonoUb:K164-PCNA:RPA:RFC:TLS-DNA Template	R-HSA-5653660 			
Biological Process	MPS IIID - Sanfilippo syndrome D	R-HSA-2206305 			
Molecular Function	Defective GNS does not hydrolyse 6-sulfate from GlcNAc6S	R-HSA-2263495 			
Biological Process	Regulation of gene expression in early pancreatic precursor cells	R-HSA-210747 	GO_0031018: endocrine pancreas development,		
Molecular Function	HNF6-dependent synthesis of HNF1B protein	R-HSA-210824 			GO_0098772: molecular function regulator,
Molecular Function	PDX1-dependent synthesis of NKX6-1 protein	R-HSA-210780 			
Molecular Function	HNF6-dependent synthesis of NEUROG3 protein during morphogenesis	R-HSA-210836 			
Molecular Function	HNF6-dependent synthesis of ONECUT3 protein during morphogenesis	R-HSA-210837 			
Molecular Function	HNF6- and FGF10-dependent synthesis of PDX1 protein	R-HSA-210769 			GO_0098772: molecular function regulator,
Molecular Function	HNF6-dependent synthesis of ONECUT3 protein during early pancreas specification	R-HSA-210767 			
Molecular Function	HNF1B- and FGF10-dependent synthesis of PTF1A protein	R-HSA-210788 			
Molecular Function	HNF1B-dependent synthesis of HNF6 protein	R-HSA-210784 			GO_0098772: molecular function regulator,
Molecular Function	PDX1-dependent synthesis of NR5A2 protein	R-HSA-210773 			
Biological Process	Re-integration of insulin receptor into plasma membrane	R-HSA-74734 			GO_0090150: establishment of protein localization to membrane,GO_0051668: localization within membrane,
Biological Process	Insulin receptor recycling	R-HSA-77387 			
Molecular Function	Insulin degradation	R-HSA-74730 	GO_0004175: endopeptidase activity,		
Molecular Function	ATP6AP1 binds V-ATPase	R-HSA-5252133 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Insulin receptor de-phosphorylation	R-HSA-74733 	GO_0004725: protein tyrosine phosphatase activity,		
Molecular Function	Dissociation of insulin from insulin receptor	R-HSA-74726 			
Molecular Function	Endosome acidification	R-HSA-74723 	GO_0015078: proton transmembrane transporter activity,		
Molecular Function	Internalisation of the insulin receptor	R-HSA-74718 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Insulin binds the insulin receptor	R-HSA-74716 		GO_0005515: protein binding,	
Complex	V-ATPase	R-HSA-912600 			
Complex	Insulin:p-6Y-insulin receptor	R-HSA-74702 			
Complex	Insulin:p-6Y-Insulin receptor	R-HSA-74678 			
Complex	Insulin:Insulin receptor	R-HSA-74703 			
Complex	V-ATPase:ATP6AP1	R-HSA-5252081 			GO_1902495: transmembrane transporter complex,
Biological Process	Export of Viral Ribonucleoproteins from Nucleus	R-HSA-168274 	GO_0075733: intracellular transport of virus,		
Biological Process	HIV Transcription Elongation	R-HSA-167169 	GO_0006368: transcription elongation from RNA polymerase II promoter,		
