Reactome Node Type	Reactome label	curated GO MF	curated GO_BP	both	controller_type	
Reaction	DVL1 is ubiquitinated by HECW1	GO_0061630 	none		Catalysis 
Reaction	WNT signaling stimulates CSNK1-dependent phosphorylation of DVL	GO_0004674 	none		Catalysis 
Reaction	CSNK2-mediated phosphorylation of DVL	GO_0016301 	none		Catalysis 
Reaction	DVL-associated PIP5K1B phosphorylates PI4P to PI(4,5)P2	GO_0016308 	none		Catalysis 
Reaction	Phosphorylated DVL recruits PIP5K1B to the plasma membrane	none	none		none
Pathway	Beta-catenin independent WNT signaling	none	GO_0035567 		none
Pathway	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	none	none		none
Pathway	Asymmetric localization of PCP proteins	none	none		none
Pathway	PCP/CE pathway	none	GO_0060071 		none
Reaction	WNT:FZD complex promotes G-protein nucleotide exchange	GO_0005085 	none		Catalysis 
Pathway	Degradation of AXIN	none	GO_0090263 		none
Reaction	FZD recruits trimeric G-proteins	none	none		none
Pathway	Degradation of DVL	none	GO_0090090 		none
Reaction	WNT5A and WNT11 bind FZD receptors to initiate Ca2+ signaling	none	none		none
Reaction	TLE recruits HDAC1 to WNT promoters	none	none		none
Pathway	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	none	GO_0090090 		none
Reaction	TLE tetramers bind TCF/LEF at WNT promoters	none	none		none
Pathway	Regulation of FZD by ubiquitination	none	none		none
Reaction	Translocation and activation of PKC alpha in response to WNT signaling	none	none		none
Reaction	TCF7L2/TCF7L1 bind CTBP1 to repress WNT target genes	none	none		none
Reaction	PLC beta-mediated PIP2 hydrolysis	GO_0004629 	none		Catalysis 
Reaction	TLE forms non-functional complexes with AES	none	none		none
Reaction	Gbeta:gamma activation of PLC beta	none	none		none
Reaction	WNT binds to FZD and LRP5/6	none	none		Non-catalytic-INHIBITION 
Pathway	Signaling by WNT	none	GO_0016055 		none
Pathway	Deactivation of the beta-catenin transactivating complex	none	none		none
Reaction	G-protein subunits dissociate from WNT:FZD complex	none	none		none
Reaction	Transcription of canonical WNT targets is repressed by the TLE:HDAC and TCF/CTBP complexes	none	none		Non-catalytic-INHIBITION 
Pathway	WNT ligand biogenesis and trafficking	none	none		none
Pathway	Binding of TCF/LEF:CTNNB1 to target gene promoters	none	none		none
Reaction	Calcineurin binds and dephosphorylates NFAT1 in response to WNT/Ca2+ signaling	GO_0033192 	none		Catalysis 
Reaction	Activation of Calcineurin	none	none		none
Reaction	IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel	none	none		none
Reaction	Beta-catenin recruits TRRAP/KAT5 HAT components	none	none		none
Reaction	YWHAZ binds p-CBY:CTNNB1	none	none		none
Reaction	PDE6 hydrolyses cGMP to GMP	GO_0047555 	none		Catalysis 
Reaction	XIAP binds TLE	none	none		none
Reaction	G alpha t2 binds and activates PDE6	none	none		none
Reaction	KAT5 HAT complex acetylates TCF4 gene at histone H4	GO_0004402 	none		Catalysis 
Reaction	Decreasing cGMP concentration promotes intracellular Ca2+ release in response to WNT	GO_0005261 	none		Catalysis 
Reaction	XIAP dissociates from ub-TLE	none	none		none
Reaction	Translocation of NFATC1:CaN:CaM to nucleus	none	none		none
Reaction	XIAP monoubiquinates TLE	GO_0061630 	none		Catalysis 
Reaction	Dissociation of CaM and CAMK2 autophosphorylation	GO_0004674 	none		Catalysis 
Reaction	beta-catenin is replaced by repression complexes at the promoter	none	none		none
Reaction	Autophosphorylation and activation of CAMK2	GO_0004674 	none		Catalysis 
Reaction	APC promotes disassembly of beta-catenin transactivation complex	none	none		none
Reaction	PRKG is activated by binding to high levels of cGMP in the absence of WNT signaling	none	none		none
Reaction	AKT phosphorylates CBY1	GO_0004674 	none		Catalysis 
Reaction	Active calmodulin binds CAMK2	none	none		none
Reaction	CBY1 binds beta-catenin	none	none		none
Reaction	Activation of MAP3K7 in response to WNT	GO_0004674 	none		Catalysis 
Reaction	CAMK2 binds MAP3K7	none	none		none
Reaction	SET1 complex trimethylates H3K4 at the MYC gene	GO_0042800 	none		Catalysis 
Reaction	Recruitment of SET1 methyltransferase complex	none	none		none
Reaction	Activation of NLK	GO_0004674 	none		Catalysis Non-catalytic-ACTIVATION 
Reaction	NLK mRNA translation controlled by miR-92b	none	none		Non-catalytic-INHIBITION 
Reaction	TCF/LEF:CTNNB1 bind the AXIN2 gene	none	none		none
Reaction	miR-92b binds 3'UTR of NLK mRNA	none	none		none
Reaction	TCF7L1/TCF7L2/LEF1:CTNNB1 promote transcription of the MYC gene	none	none		Non-catalytic-ACTIVATION 
Reaction	NLK phosphorylates TCF/LEF	GO_0004674 	none		Catalysis 
Reaction	Beta-catenin displaces TLE:HDAC1 from TCF/LEF	none	none		none
Reaction	NLK translocates to nucleus	none	none		none
Reaction	TCF/LEF:CTNNB1 promote transcription of AXIN2	none	none		Non-catalytic-ACTIVATION 
Reaction	Beta-catenin recruits CBP/p300	none	none		none
Reaction	Beta-catenin:TCF associates with BCL9 and PYGO	none	none		none
Reaction	Transcription of canonical WNT targets is negatively regulated by NLK-dependent phosphorylation of TCF/LEF	none	none		Non-catalytic-ACTIVATION 
Reaction	Beta-catenin recruits SMARCA4	none	none		none
Reaction	TCF/LEF:CTNNB1 bind canonical WNT target promoters	none	none		Non-catalytic-INHIBITION 
Reaction	Beta-catenin recruits CDC73 and LEO1	none	none		none
